dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,run_idx,rep,seed,status,error,raw_graph_path,true_graph_path,fact_total,fact_true,fact_false,fact_retained,fact_retained_true,fact_retained_false,fact_removed,fact_removed_true,fact_removed_false,fact_precision,fact_recall,fact_f1,aspcr_model_space,aspcr_encoding,aspcr_solver_objective,aspcr_recomputed_objective,aspcr_graph_is_dag,aspcr_n_directed,aspcr_n_bidirected,aspcr_n_tailtail,aspcr_testing_time,aspcr_encoding_time,aspcr_solving_time,aspcr_data_path,aspcr_directed_path,aspcr_bidirected_path,aspcr_tailtail_path,aspcr_constraints_path,aspcr_diagnostics_path,aspcr_time_path
sf8,FGS,0.0753722190856933,6,0.8333,0.0769,0.3333,0.1667,0.0769,0.1053,14.0,16,17,2042,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0016_seed_2042.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0763261318206787,6,0.8333,0.0769,0.3333,0.1667,0.0769,0.1053,14.0,17,18,2043,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0017_seed_2043.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0757532119750976,6,0.8333,0.0769,0.3333,0.1667,0.0769,0.1053,14.0,18,19,2044,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0018_seed_2044.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.1001050472259521,4,0.5,0.1538,0.1333,0.5,0.1538,0.2353,13.0,19,20,2045,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0019_seed_2045.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0707767009735107,4,0.5,0.1538,0.1333,0.5,0.1538,0.2353,12.0,20,21,2046,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0020_seed_2046.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0752208232879638,7,1.0,0.0,0.4667,0.0,0.0,0.0,15.0,21,22,2047,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0021_seed_2047.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0764679908752441,8,0.75,0.1538,0.4,0.25,0.1538,0.1905,15.0,22,23,2048,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0022_seed_2048.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0660514831542968,1,0.0,0.0769,0.0,1.0,0.0769,0.1429,12.0,23,24,2049,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0023_seed_2049.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0744621753692627,8,1.0,0.0,0.5333,0.0,0.0,0.0,18.0,24,25,2050,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0024_seed_2050.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0758626461029052,8,0.75,0.1538,0.4,0.25,0.1538,0.1905,15.0,25,26,2051,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0025_seed_2051.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0761902332305908,7,0.5714,0.2308,0.2667,0.4286,0.2308,0.3,14.0,26,27,2052,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0026_seed_2052.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0776684284210205,6,0.8333,0.0769,0.3333,0.1667,0.0769,0.1053,15.0,27,28,2053,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0027_seed_2053.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0724854469299316,3,1.0,0.0,0.2,0.0,0.0,0.0,15.0,28,29,2054,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0028_seed_2054.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0692641735076904,3,0.6667,0.0769,0.1333,0.3333,0.0769,0.125,14.0,29,30,2055,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0029_seed_2055.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0804924964904785,6,1.0,0.0,0.4,0.0,0.0,0.0,17.0,30,31,2056,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0030_seed_2056.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0781910419464111,8,0.75,0.1538,0.4,0.25,0.1538,0.1905,16.0,31,32,2057,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0031_seed_2057.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0762286186218261,5,0.8,0.0769,0.2667,0.2,0.0769,0.1111,14.0,32,33,2058,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0032_seed_2058.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0781049728393554,6,1.0,0.0,0.4,0.0,0.0,0.0,18.0,33,34,2059,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0033_seed_2059.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0757369995117187,7,0.5714,0.2308,0.2667,0.4286,0.2308,0.3,14.0,34,35,2060,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0034_seed_2060.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0704078674316406,5,1.0,0.0,0.3333,0.0,0.0,0.0,16.0,35,36,2061,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0035_seed_2061.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0785491466522216,8,0.625,0.2308,0.3333,0.375,0.2308,0.2857,12.0,36,37,2062,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0036_seed_2062.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0728046894073486,6,0.6667,0.1538,0.2667,0.3333,0.1538,0.2105,14.0,37,38,2063,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0037_seed_2063.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.077136754989624,7,0.7143,0.1538,0.3333,0.2857,0.1538,0.2,14.0,38,39,2064,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0038_seed_2064.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0730209350585937,6,0.5,0.2308,0.2,0.5,0.2308,0.3158,13.0,39,40,2065,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0039_seed_2065.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0725820064544677,7,0.7143,0.1538,0.3333,0.2857,0.1538,0.2,12.0,40,41,2066,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0040_seed_2066.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0770044326782226,8,0.625,0.2308,0.3333,0.375,0.2308,0.2857,14.0,41,42,2067,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0041_seed_2067.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0854520797729492,10,0.8,0.1538,0.5333,0.2,0.1538,0.1739,15.0,42,43,2068,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0042_seed_2068.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0764105319976806,7,0.7143,0.1538,0.3333,0.2857,0.1538,0.2,14.0,43,44,2069,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0043_seed_2069.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0767865180969238,7,0.7143,0.1538,0.3333,0.2857,0.1538,0.2,12.0,44,45,2070,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0044_seed_2070.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0763912200927734,7,0.7143,0.1538,0.3333,0.2857,0.1538,0.2,14.0,45,46,2071,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0045_seed_2071.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0729804039001464,5,0.8,0.0769,0.2667,0.2,0.0769,0.1111,14.0,46,47,2072,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0046_seed_2072.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0770666599273681,7,0.8571,0.0769,0.4,0.1429,0.0769,0.1,18.0,47,48,2073,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0047_seed_2073.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.0852911472320556,5,0.6,0.1538,0.2,0.4,0.1538,0.2222,13.0,48,49,2074,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0048_seed_2074.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sf8,FGS,0.08018112182617188,9,0.8889,0.0769,0.5333,0.1111,0.0769,0.0909,18.0,49,50,2075,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/sf8/FGS/run_0049_seed_2075.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
