dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,run_idx,rep,seed,status,error,raw_graph_path,true_graph_path,fact_total,fact_true,fact_false,fact_retained,fact_retained_true,fact_retained_false,fact_removed,fact_removed_true,fact_removed_false,fact_precision,fact_recall,fact_f1,aspcr_model_space,aspcr_encoding,aspcr_solver_objective,aspcr_recomputed_objective,aspcr_graph_is_dag,aspcr_n_directed,aspcr_n_bidirected,aspcr_n_tailtail,aspcr_testing_time,aspcr_encoding_time,aspcr_solving_time,aspcr_data_path,aspcr_directed_path,aspcr_bidirected_path,aspcr_tailtail_path,aspcr_constraints_path,aspcr_diagnostics_path,aspcr_time_path
er8,FGS,0.0761675834655761,7,0.4286,0.25,0.25,0.2857,0.125,0.1739,16.0,17,18,2043,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er8/FGS/run_0017_seed_2043.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er8,FGS,0.0766265392303466,8,0.625,0.1875,0.4167,0.125,0.0625,0.0833,16.0,18,19,2044,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er8/FGS/run_0018_seed_2044.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er8,FGS,0.0789849758148193,9,0.6667,0.1875,0.5,0.2222,0.125,0.16,17.0,19,20,2045,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er8/FGS/run_0019_seed_2045.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er8,FGS,0.0803291797637939,10,0.2,0.5,0.1667,0.7,0.4375,0.5385,13.0,20,21,2046,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er8/FGS/run_0020_seed_2046.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er8,FGS,0.0810663700103759,10,0.7,0.1875,0.5833,0.2,0.125,0.1538,21.0,21,22,2047,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er8/FGS/run_0021_seed_2047.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er8,FGS,0.0800278186798095,9,0.3333,0.375,0.25,0.5556,0.3125,0.4,14.0,22,23,2048,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er8/FGS/run_0022_seed_2048.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er8,FGS,0.0845153331756591,10,0.4,0.375,0.3333,0.2,0.125,0.1538,19.0,23,24,2049,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er8/FGS/run_0023_seed_2049.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er8,FGS,0.0873134136199951,13,0.5385,0.375,0.5833,0.1538,0.125,0.1379,19.0,24,25,2050,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er8/FGS/run_0024_seed_2050.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er8,FGS,0.08711838722229,11,0.5455,0.3125,0.5,0.3636,0.25,0.2963,16.0,25,26,2051,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er8/FGS/run_0025_seed_2051.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er8,FGS,0.0948367118835449,17,0.5882,0.4375,0.8333,0.3529,0.375,0.3636,24.0,26,27,2052,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er8/FGS/run_0026_seed_2052.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er8,FGS,0.0806496143341064,11,0.4545,0.375,0.4167,0.1818,0.125,0.1481,16.0,27,28,2053,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er8/FGS/run_0027_seed_2053.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er8,FGS,0.083439826965332,11,0.6364,0.25,0.5833,0.3636,0.25,0.2963,19.0,28,29,2054,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er8/FGS/run_0028_seed_2054.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
