dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,run_idx,rep,seed,status,error,raw_graph_path,true_graph_path,fact_total,fact_true,fact_false,fact_retained,fact_retained_true,fact_retained_false,fact_removed,fact_removed_true,fact_removed_false,fact_precision,fact_recall,fact_f1,aspcr_model_space,aspcr_encoding,aspcr_solver_objective,aspcr_recomputed_objective,aspcr_graph_is_dag,aspcr_n_directed,aspcr_n_bidirected,aspcr_n_tailtail,aspcr_testing_time,aspcr_encoding_time,aspcr_solving_time,aspcr_data_path,aspcr_directed_path,aspcr_bidirected_path,aspcr_tailtail_path,aspcr_constraints_path,aspcr_diagnostics_path,aspcr_time_path
er5,FGS,0.0765154361724853,5,0.2,0.4,1.0,0.8,0.4,0.5333,6.0,17,18,2043,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er5/FGS/run_0017_seed_2043.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.0873327255249023,6,0.3333,0.4,2.0,0.6667,0.4,0.5,6.0,18,19,2044,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er5/FGS/run_0018_seed_2044.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.0755078792572021,7,0.4286,0.4,3.0,0.5714,0.4,0.4706,6.0,19,20,2045,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er5/FGS/run_0019_seed_2045.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.0721123218536377,6,0.5,0.3,3.0,0.5,0.3,0.375,7.0,20,21,2046,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er5/FGS/run_0020_seed_2046.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.0772514343261718,8,0.75,0.2,6.0,0.25,0.2,0.2222,8.0,21,22,2047,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er5/FGS/run_0021_seed_2047.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.0705368518829345,6,0.5,0.3,3.0,0.5,0.3,0.375,7.0,22,23,2048,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er5/FGS/run_0022_seed_2048.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.0698645114898681,5,0.6,0.2,3.0,0.4,0.2,0.2667,8.0,23,24,2049,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er5/FGS/run_0023_seed_2049.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.0753698348999023,8,0.625,0.3,5.0,0.375,0.3,0.3333,7.0,24,25,2050,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er5/FGS/run_0024_seed_2050.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.0745749473571777,6,0.6667,0.2,4.0,0.3333,0.2,0.25,8.0,25,26,2051,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er5/FGS/run_0025_seed_2051.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.0794098377227783,8,0.625,0.3,5.0,0.375,0.3,0.3333,7.0,26,27,2052,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er5/FGS/run_0026_seed_2052.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
