dataset,dataset_label,proved_pairs,aba_strictly_suboptimal,full_trace_enforced,inconsistent_traces,optaba_lower_cost,equal_cost_inconsistent,relative_cost_reduction_median,relative_cost_reduction_q1,relative_cost_reduction_q3,improved_relative_cost_reduction_median
cancer,Cancer (5),50,50,0,50,50,0,0.40158060275621354,0.33360697772234993,0.4869879477406164,0.40158060275621354
earthquake,Earthquake (5),50,1,47,3,1,2,0.0,0.0,0.0,0.6183086376738244
survey,Survey (6),50,50,0,50,50,0,0.5706941382533224,0.5126617638575343,0.635472885920816,0.5706941382533224
er5,ER (5),50,0,50,0,0,0,0.0,0.0,0.0,
sf5,SF (5),50,7,42,8,7,1,0.0,0.0,0.0,0.33444225633348235
