nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,dataset,seed,n_nodes,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,aba_elapsed,ranking_elapsed,num_edges_est,best_model,best_I
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,2656,5,0.14286494255065918,1.214522123336792,True,refined_indep_facts,original,0.017887592315673828,0.009339570999145508,1,"frozenset({(3, 0)})",3.779869565100819
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,2656,5,0.14286494255065918,1.214522123336792,True,refined_indep_facts,refined_indep_facts,0.017887592315673828,0.0060918331146240234,1,"frozenset({(3, 0)})",3.989580658563204
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,2656,5,0.14286494255065918,1.214522123336792,True,refined_indep_facts,arrows_sum,0.017887592315673828,0.0008718967437744141,1,"frozenset({(3, 0)})",0.500024405505815
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,2656,5,0.14286494255065918,1.214522123336792,True,refined_indep_facts,arrows_mean,0.017887592315673828,0.0004582405090332031,1,"frozenset({(3, 0)})",0.500024405505815
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,2688,5,0.14286494255065918,1.2119252681732178,True,original,original,0.17445635795593262,0.026453733444213867,4,"frozenset({(1, 0), (4, 0), (2, 0), (3, 0)})",20.660267111275942
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,2688,5,0.14286494255065918,1.2119252681732178,True,original,refined_indep_facts,0.17445635795593262,0.008733749389648438,4,"frozenset({(1, 0), (4, 0), (2, 0), (3, 0)})",2.556961836486124
6,0.6667,0.5,0.6667,0.3333,0.5,0.4,4.0,8.0,cancer,2688,5,0.14286494255065918,1.2119252681732178,True,original,arrows_sum,0.17445635795593262,0.0005548000335693359,6,"frozenset({(4, 0), (3, 4), (2, 0), (1, 4), (3, 0), (1, 0)})",3.0055570708923853
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,2688,5,0.14286494255065918,1.2119252681732178,True,original,arrows_mean,0.17445635795593262,0.0009284019470214844,4,"frozenset({(1, 0), (4, 0), (2, 0), (3, 0)})",0.5015021642699201
1,1.0,0.0,0.1667,0.0,0.0,,4.0,11.0,cancer,2688,5,0.14286494255065918,1.2119252681732178,True,refined_indep_facts,original,0.018499135971069336,0.017833709716796875,1,"frozenset({(4, 0)})",-1.2242882543419336
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,2688,5,0.14286494255065918,1.2119252681732178,True,refined_indep_facts,refined_indep_facts,0.018499135971069336,0.00829315185546875,1,"frozenset({(3, 0)})",4.88614010673604
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,2688,5,0.14286494255065918,1.2119252681732178,True,refined_indep_facts,arrows_sum,0.018499135971069336,0.0005633831024169922,1,"frozenset({(3, 0)})",0.5022085081093595
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,2688,5,0.14286494255065918,1.2119252681732178,True,refined_indep_facts,arrows_mean,0.018499135971069336,0.0005421638488769531,1,"frozenset({(3, 0)})",0.5022085081093595
