dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,run_idx,rep,seed,status,error,raw_graph_path,true_graph_path
sf8,MPC,0.04432988166809082,10,0.1,0.6923,0.0667,0.9,0.6923,0.7826,4.0,22,23,2048,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0022_seed_2048.npz,
sf8,MPC,0.0708322525024414,6,0.0,0.4615,0.0,1.0,0.4615,0.6316,7.0,23,24,2049,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0023_seed_2049.npz,
sf8,MPC,0.0433497428894043,10,0.1,0.6923,0.0667,0.9,0.6923,0.7826,4.0,24,25,2050,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0024_seed_2050.npz,
sf8,MPC,0.04879117012023926,9,0.1111,0.6154,0.0667,0.8889,0.6154,0.7273,5.0,25,26,2051,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0025_seed_2051.npz,
sf8,MPC,0.07743406295776367,10,0.1,0.6923,0.0667,0.9,0.6923,0.7826,4.0,26,27,2052,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0026_seed_2052.npz,
sf8,MPC,0.04791760444641113,10,0.0,0.7692,0.0,1.0,0.7692,0.8696,3.0,27,28,2053,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0027_seed_2053.npz,
sf8,MPC,0.0891563892364502,10,0.0,0.7692,0.0,1.0,0.7692,0.8696,3.0,28,29,2054,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0028_seed_2054.npz,
sf8,MPC,0.07229447364807129,8,0.0,0.6154,0.0,1.0,0.6154,0.7619,5.0,29,30,2055,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0029_seed_2055.npz,
sf8,MPC,0.043116092681884766,8,0.375,0.3846,0.2,0.625,0.3846,0.4762,8.0,30,31,2056,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0030_seed_2056.npz,
sf8,MPC,0.04620504379272461,6,0.0,0.4615,0.0,1.0,0.4615,0.6316,7.0,31,32,2057,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0031_seed_2057.npz,
sf8,MPC,0.06441164016723633,10,0.0,0.7692,0.0,1.0,0.7692,0.8696,3.0,32,33,2058,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0032_seed_2058.npz,
sf8,MPC,0.0483856201171875,9,0.2222,0.5385,0.1333,0.7778,0.5385,0.6364,6.0,33,34,2059,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0033_seed_2059.npz,
sf8,MPC,0.04352068901062012,9,0.0,0.6923,0.0,1.0,0.6923,0.8182,4.0,34,35,2060,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0034_seed_2060.npz,
sf8,MPC,0.04715466499328613,8,0.0,0.6154,0.0,1.0,0.6154,0.7619,5.0,35,36,2061,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0035_seed_2061.npz,
sf8,MPC,0.053545475006103516,8,0.25,0.4615,0.1333,0.75,0.4615,0.5714,7.0,36,37,2062,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0036_seed_2062.npz,
sf8,MPC,0.023900985717773438,6,0.3333,0.3077,0.1333,0.6667,0.3077,0.4211,9.0,37,38,2063,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0037_seed_2063.npz,
sf8,MPC,0.051012516021728516,7,0.0,0.5385,0.0,1.0,0.5385,0.7,6.0,38,39,2064,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0038_seed_2064.npz,
sf8,MPC,0.031373023986816406,8,0.125,0.5385,0.0667,0.875,0.5385,0.6667,6.0,39,40,2065,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0039_seed_2065.npz,
sf8,MPC,0.0926964282989502,10,0.1,0.6923,0.0667,0.9,0.6923,0.7826,4.0,40,41,2066,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0040_seed_2066.npz,
sf8,MPC,0.05667734146118164,9,0.1111,0.6154,0.0667,0.8889,0.6154,0.7273,5,41,42,2067,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0041_seed_2067.npz,
sf8,MPC,0.02427506446838379,6,0.0,0.4615,0.0,1.0,0.4615,0.6316,7.0,42,43,2068,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0042_seed_2068.npz,
sf8,MPC,0.07453298568725586,10,0.0,0.7692,0.0,1.0,0.7692,0.8696,3.0,43,44,2069,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0043_seed_2069.npz,
sf8,MPC,0.056137800216674805,9,0.0,0.6923,0.0,1.0,0.6923,0.8182,4.0,44,45,2070,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0044_seed_2070.npz,
sf8,MPC,0.03291916847229004,3,0.0,0.2308,0.0,1.0,0.2308,0.375,10.0,45,46,2071,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0045_seed_2071.npz,
sf8,MPC,0.029902219772338867,6,0.1667,0.3846,0.0667,0.8333,0.3846,0.5263,8.0,46,47,2072,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0046_seed_2072.npz,
sf8,MPC,0.06367087364196777,10,0.0,0.7692,0.0,1.0,0.7692,0.8696,3.0,47,48,2073,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0047_seed_2073.npz,
sf8,MPC,0.042582035064697266,5,0.0,0.3846,0.0,1.0,0.3846,0.5556,8.0,48,49,2074,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0048_seed_2074.npz,
sf8,MPC,0.06760096549987793,10,0.0,0.7692,0.0,1.0,0.7692,0.8696,3.0,49,50,2075,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_mpc/sf8/MPC/run_0049_seed_2075.npz,
