dataset,model,seed,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid
asia,FGS,2804,0.12030673027038574,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,11.0,40.0
asia,FGS,2145,0.12157273292541504,9,0.8889,0.125,0.4,0.1111,0.125,0.1176,13.0,34.0
asia,FGS,150,0.1208798885345459,8,0.75,0.25,0.3,0.25,0.25,0.25,11.0,38.0
asia,FGS,8823,0.12115311622619629,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,11.0,40.0
asia,FGS,4669,0.1206667423248291,8,0.75,0.25,0.3,0.25,0.25,0.25,11.0,38.0
asia,FGS,6131,0.12221336364746094,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,11.0,40.0
asia,FGS,2617,0.11758637428283691,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,11.0,40.0
asia,FGS,7166,0.12288236618041992,8,0.75,0.25,0.3,0.25,0.25,0.25,11.0,38.0
asia,FGS,1428,0.14894843101501465,8,0.75,0.25,0.3,0.25,0.25,0.25,11.0,40.0
asia,FGS,8328,0.12007713317871094,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,11.0,40.0
asia,FGS,8289,0.12134790420532227,8,0.75,0.25,0.3,0.25,0.25,0.25,11.0,38.0
asia,FGS,5978,0.11813044548034668,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,11.0,40.0
asia,FGS,5511,0.12191653251647949,8,0.75,0.25,0.3,0.25,0.25,0.25,11.0,38.0
asia,FGS,5864,0.12346148490905762,8,0.75,0.25,0.3,0.25,0.25,0.25,11.0,38.0
asia,FGS,606,0.12445235252380371,9,0.8889,0.125,0.4,0.1111,0.125,0.1176,14.0,36.0
asia,FGS,1933,0.12303876876831055,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,11.0,40.0
asia,FGS,6071,0.12246322631835938,8,0.75,0.25,0.3,0.25,0.25,0.25,11.0,38.0
asia,FGS,5504,0.11953544616699219,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,11.0,40.0
asia,FGS,5163,0.14893078804016113,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,11.0,40.0
asia,FGS,2406,0.12062716484069824,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,11.0,40.0
asia,FGS,304,0.12258505821228027,9,0.7778,0.25,0.35,0.2222,0.25,0.2353,12.0,36.0
asia,FGS,3391,0.12021183967590332,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,11.0,40.0
asia,FGS,359,0.13815569877624512,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,11.0,40.0
asia,FGS,9096,0.12192773818969727,8,0.75,0.25,0.3,0.25,0.25,0.25,11.0,38.0
asia,FGS,3533,0.12516450881958008,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,10.0,26.0
asia,FGS,4125,0.12235879898071289,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,11.0,40.0
asia,FGS,3094,0.12208008766174316,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,11.0,40.0
asia,FGS,6398,0.1506948471069336,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,11.0,40.0
sachs,FGS,7816,0.1533966064453125,17,0.8824,0.1176,0.3947,0.1176,0.1176,0.1176,25.0,52.0
sachs,FGS,3578,0.14966678619384766,15,0.8667,0.1176,0.3421,0.1333,0.1176,0.125,24.0,45.0
sachs,FGS,2656,0.15491032600402832,16,0.875,0.1176,0.3684,0.125,0.1176,0.1212,25.0,51.0
sachs,FGS,2688,0.14944863319396973,16,0.875,0.1176,0.3684,0.125,0.1176,0.1212,25.0,51.0
sachs,FGS,2494,0.153825044631958,17,0.8235,0.1765,0.3684,0.1765,0.1765,0.1765,21.0,49.0
sachs,FGS,183,0.14210295677185059,12,0.9167,0.0588,0.2895,0.0833,0.0588,0.069,24.0,50.0
sachs,FGS,7977,0.1807875633239746,16,0.8125,0.1765,0.3421,0.1875,0.1765,0.1818,22.0,50.0
sachs,FGS,3199,0.1480119228363037,14,0.9286,0.0588,0.3421,0.0714,0.0588,0.0645,25.0,55.0
sachs,FGS,316,0.15229535102844238,16,0.8125,0.1765,0.3421,0.1875,0.1765,0.1818,22.0,50.0
sachs,FGS,8266,0.15237760543823242,17,0.8824,0.1176,0.3947,0.1176,0.1176,0.1176,26.0,51.0
sachs,FGS,1532,0.15050721168518066,15,0.8667,0.1176,0.3421,0.1333,0.1176,0.125,23.0,52.0
sachs,FGS,1009,0.149550199508667,16,0.875,0.1176,0.3684,0.125,0.1176,0.1212,25.0,51.0
sachs,FGS,2250,0.1479356288909912,15,0.8667,0.1176,0.3421,0.1333,0.1176,0.125,24.0,45.0
sachs,FGS,4447,0.14818978309631348,15,0.8,0.1765,0.3158,0.2,0.1765,0.1875,22.0,43.0
sachs,FGS,2415,0.1939530372619629,19,0.8947,0.1176,0.4474,0.1053,0.1176,0.1111,24.0,49.0
sachs,FGS,3595,0.14910650253295898,16,0.875,0.1176,0.3684,0.125,0.1176,0.1212,23.0,43.0
sachs,FGS,4187,0.14885520935058594,15,0.8667,0.1176,0.3421,0.1333,0.1176,0.125,23.0,52.0
sachs,FGS,4135,0.15378856658935547,17,0.8235,0.1765,0.3684,0.1765,0.1765,0.1765,24.0,49.0
sachs,FGS,5174,0.1638638973236084,15,0.8667,0.1176,0.3421,0.1333,0.1176,0.125,23.0,52.0
