dataset,model,seed,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high
earthquake,FGS,2688,0.10215616226196289,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,FGS,2494,0.10429000854492188,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,FGS,183,0.10836386680603027,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,FGS,7977,0.10353231430053711,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,FGS,3199,0.1059725284576416,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,FGS,316,0.10458660125732422,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,FGS,8266,0.10722017288208008,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,FGS,1532,0.10273241996765137,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,FGS,1009,0.10682201385498047,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,FGS,2250,0.10325360298156738,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,FGS,4447,0.11942195892333984,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,FGS,2415,0.11482739448547363,6,0.3333,1.0,0.3333,0.3333,0.5,0.4,4.0,0.0,14.0
earthquake,FGS,3595,0.10425996780395508,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,FGS,4187,0.10483980178833008,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,FGS,4135,0.10243797302246094,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,FGS,5174,0.10561060905456543,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,FGS,5303,0.10406041145324707,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,FGS,3942,0.10121011734008789,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,FGS,2778,0.10508918762207031,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,FGS,2804,0.10358572006225586,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,FGS,2145,0.10500860214233398,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
