dataset_type,description_used,Precision,Recall,F-beta
bnlearn,False,0.878322399156,0.7283274853720001,0.865200960652
bnlearn,True,0.912024453928,0.6717543859620001,0.8827311287940001
synthetic,False,0.94008084581,0.38231625983285716,0.8458136611357143
synthetic,True,0.95158434888,0.3588201947457143,0.8756792682623189
