nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,n_nodes,n_edges,seed,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,aba_elapsed,ranking_elapsed,num_edges_est,best_model,best_I
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,3,3,2656,0.005568265914916992,0.015046834945678711,True,refined_indep_facts,arrows_sum,0.007636308670043945,0.0004096031188964844,2,"frozenset({(1, 0), (2, 0)})",1.003696531432407
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,3,3,2656,0.005568265914916992,0.015046834945678711,True,refined_indep_facts,arrows_mean,0.007636308670043945,0.0004177093505859375,2,"frozenset({(1, 0), (2, 0)})",0.5018482657162034
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0,3,3,2688,0.005568265914916992,0.013265132904052734,True,original,original,0.01534414291381836,0.005053520202636719,3,"frozenset({(0, 1), (0, 2), (2, 1)})",4.5
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0,3,3,2688,0.005568265914916992,0.013265132904052734,True,original,refined_indep_facts,0.01534414291381836,0.0031931400299072266,3,"frozenset({(0, 1), (0, 2), (2, 1)})",0.0
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0,3,3,2688,0.005568265914916992,0.013265132904052734,True,original,arrows_sum,0.01534414291381836,0.00042557716369628906,3,"frozenset({(0, 1), (0, 2), (2, 1)})",1.5
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0,3,3,2688,0.005568265914916992,0.013265132904052734,True,original,arrows_mean,0.01534414291381836,0.00042700767517089844,3,"frozenset({(0, 1), (0, 2), (2, 1)})",0.5
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,3,3,2688,0.005568265914916992,0.013265132904052734,True,refined_indep_facts,original,0.010235309600830078,0.018226146697998047,3,"frozenset({(0, 1), (0, 2), (1, 2)})",4.5
2,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,4.0,3,3,2688,0.005568265914916992,0.013265132904052734,True,refined_indep_facts,refined_indep_facts,0.010235309600830078,0.012077569961547852,2,"frozenset({(1, 2), (2, 0)})",0.0
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,3,3,2688,0.005568265914916992,0.013265132904052734,True,refined_indep_facts,arrows_sum,0.010235309600830078,0.0012068748474121094,3,"frozenset({(0, 1), (0, 2), (1, 2)})",1.5
2,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,4.0,3,3,2688,0.005568265914916992,0.013265132904052734,True,refined_indep_facts,arrows_mean,0.010235309600830078,0.001726388931274414,2,"frozenset({(1, 2), (2, 0)})",0.5
3,1.0,0.0,3.0,0.0,0.0,,3.0,6.0,3,3,2494,0.005568265914916992,0.01323556900024414,True,original,original,0.014532089233398438,0.00521397590637207,3,"frozenset({(0, 1), (0, 2), (2, 1)})",4.5
3,1.0,0.0,3.0,0.0,0.0,,3.0,6.0,3,3,2494,0.005568265914916992,0.01323556900024414,True,original,refined_indep_facts,0.014532089233398438,0.0030231475830078125,3,"frozenset({(0, 1), (0, 2), (2, 1)})",0.0
3,1.0,0.0,3.0,0.0,0.0,,3.0,6.0,3,3,2494,0.005568265914916992,0.01323556900024414,True,original,arrows_sum,0.014532089233398438,0.0008642673492431641,3,"frozenset({(0, 1), (0, 2), (2, 1)})",1.5
3,1.0,0.0,3.0,0.0,0.0,,3.0,6.0,3,3,2494,0.005568265914916992,0.01323556900024414,True,original,arrows_mean,0.014532089233398438,0.00041103363037109375,3,"frozenset({(0, 1), (0, 2), (2, 1)})",0.5
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,3,3,2494,0.005568265914916992,0.01323556900024414,True,refined_indep_facts,original,0.009748458862304688,0.017821788787841797,3,"frozenset({(0, 1), (0, 2), (1, 2)})",4.5
2,0.0,0.6667,0.0,1.0,0.6667,0.8,1.0,1.0,3,3,2494,0.005568265914916992,0.01323556900024414,True,refined_indep_facts,refined_indep_facts,0.009748458862304688,0.011986017227172852,2,"frozenset({(1, 2), (2, 0)})",0.0
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,3,3,2494,0.005568265914916992,0.01323556900024414,True,refined_indep_facts,arrows_sum,0.009748458862304688,0.0011889934539794922,3,"frozenset({(0, 1), (0, 2), (1, 2)})",1.5
2,0.0,0.6667,0.0,1.0,0.6667,0.8,1.0,1.0,3,3,2494,0.005568265914916992,0.01323556900024414,True,refined_indep_facts,arrows_mean,0.009748458862304688,0.00118255615234375,2,"frozenset({(1, 2), (2, 0)})",0.5
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,2.0,3,3,183,0.005568265914916992,0.01336526870727539,True,original,original,0.015440702438354492,0.005173683166503906,3,"frozenset({(0, 1), (0, 2), (2, 1)})",4.4998715194696075
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,2.0,3,3,183,0.005568265914916992,0.01336526870727539,True,original,refined_indep_facts,0.015440702438354492,0.0030951499938964844,3,"frozenset({(0, 1), (0, 2), (2, 1)})",0.0
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,2.0,3,3,183,0.005568265914916992,0.01336526870727539,True,original,arrows_sum,0.015440702438354492,0.000438690185546875,3,"frozenset({(0, 1), (0, 2), (2, 1)})",1.5
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,2.0,3,3,183,0.005568265914916992,0.01336526870727539,True,original,arrows_mean,0.015440702438354492,0.00042700767517089844,3,"frozenset({(0, 1), (0, 2), (2, 1)})",0.5
3,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3,3,183,0.005568265914916992,0.01336526870727539,True,refined_indep_facts,original,0.016729354858398438,0.017625093460083008,3,"frozenset({(0, 1), (0, 2), (1, 2)})",4.4998715194696075
2,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,5.0,3,3,183,0.005568265914916992,0.01336526870727539,True,refined_indep_facts,refined_indep_facts,0.016729354858398438,0.011908531188964844,2,"frozenset({(1, 2), (2, 0)})",0.0
3,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3,3,183,0.005568265914916992,0.01336526870727539,True,refined_indep_facts,arrows_sum,0.016729354858398438,0.00119781494140625,3,"frozenset({(0, 1), (0, 2), (1, 2)})",1.5
2,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,5.0,3,3,183,0.005568265914916992,0.01336526870727539,True,refined_indep_facts,arrows_mean,0.016729354858398438,0.0011830329895019531,2,"frozenset({(1, 2), (2, 0)})",0.5
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,3,3,7977,0.005568265914916992,0.015128374099731445,True,original,original,0.012499094009399414,0.0024924278259277344,2,"frozenset({(1, 0), (1, 2)})",4.2627013522253545
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,3,3,7977,0.005568265914916992,0.015128374099731445,True,original,refined_indep_facts,0.012499094009399414,0.0017747879028320312,2,"frozenset({(1, 0), (1, 2)})",0.26654450742940117
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,3,3,7977,0.005568265914916992,0.015128374099731445,True,original,arrows_sum,0.012499094009399414,0.00030231475830078125,2,"frozenset({(1, 0), (1, 2)})",1.000001386527592
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,3,3,7977,0.005568265914916992,0.015128374099731445,True,original,arrows_mean,0.012499094009399414,0.00028252601623535156,2,"frozenset({(1, 0), (1, 2)})",0.500000693263796
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,3,3,7977,0.005568265914916992,0.015128374099731445,True,refined_indep_facts,original,0.029051542282104492,0.006459951400756836,2,"frozenset({(1, 0), (1, 2)})",4.2627013522253545
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,3,3,7977,0.005568265914916992,0.015128374099731445,True,refined_indep_facts,refined_indep_facts,0.029051542282104492,0.004408597946166992,2,"frozenset({(1, 0), (1, 2)})",0.26654450742940117
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,3,3,7977,0.005568265914916992,0.015128374099731445,True,refined_indep_facts,arrows_sum,0.029051542282104492,0.0004987716674804688,2,"frozenset({(1, 0), (1, 2)})",1.000001386527592
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,3,3,7977,0.005568265914916992,0.015128374099731445,True,refined_indep_facts,arrows_mean,0.029051542282104492,0.0005037784576416016,2,"frozenset({(1, 0), (1, 2)})",0.500000693263796
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,2.0,3,3,3199,0.005568265914916992,0.01634526252746582,True,original,original,0.01520395278930664,0.005374431610107422,3,"frozenset({(0, 1), (0, 2), (2, 1)})",4.499999993989775
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,2.0,3,3,3199,0.005568265914916992,0.01634526252746582,True,original,refined_indep_facts,0.01520395278930664,0.002996683120727539,3,"frozenset({(0, 1), (0, 2), (2, 1)})",0.0
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,2.0,3,3,3199,0.005568265914916992,0.01634526252746582,True,original,arrows_sum,0.01520395278930664,0.0004305839538574219,3,"frozenset({(0, 1), (0, 2), (2, 1)})",1.5
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,2.0,3,3,3199,0.005568265914916992,0.01634526252746582,True,original,arrows_mean,0.01520395278930664,0.0004069805145263672,3,"frozenset({(0, 1), (0, 2), (2, 1)})",0.5
3,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3,3,3199,0.005568265914916992,0.01634526252746582,True,refined_indep_facts,original,0.008407831192016602,0.01795220375061035,3,"frozenset({(0, 1), (0, 2), (1, 2)})",4.499999993989775
2,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,5.0,3,3,3199,0.005568265914916992,0.01634526252746582,True,refined_indep_facts,refined_indep_facts,0.008407831192016602,0.012201070785522461,2,"frozenset({(1, 2), (2, 0)})",0.0
3,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3,3,3199,0.005568265914916992,0.01634526252746582,True,refined_indep_facts,arrows_sum,0.008407831192016602,0.0012085437774658203,3,"frozenset({(0, 1), (0, 2), (1, 2)})",1.5
2,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,5.0,3,3,3199,0.005568265914916992,0.01634526252746582,True,refined_indep_facts,arrows_mean,0.008407831192016602,0.0011904239654541016,2,"frozenset({(1, 2), (2, 0)})",0.5
1,0.0,0.3333,0.0,1.0,0.3333,0.5,2.0,3.0,3,3,316,0.005568265914916992,0.018369197845458984,True,original,original,0.011455059051513672,0.0016579627990722656,1,"frozenset({(0, 2)})",2.370315719698346
1,0.0,0.3333,0.0,1.0,0.3333,0.5,2.0,3.0,3,3,316,0.005568265914916992,0.018369197845458984,True,original,refined_indep_facts,0.011455059051513672,0.001338958740234375,1,"frozenset({(0, 2)})",0.7778245547363787
1,0.0,0.3333,0.0,1.0,0.3333,0.5,2.0,3.0,3,3,316,0.005568265914916992,0.018369197845458984,True,original,arrows_sum,0.011455059051513672,0.0002529621124267578,1,"frozenset({(0, 2)})",0.49838830935854095
1,0.0,0.3333,0.0,1.0,0.3333,0.5,2.0,3.0,3,3,316,0.005568265914916992,0.018369197845458984,True,original,arrows_mean,0.011455059051513672,0.00022840499877929688,1,"frozenset({(0, 2)})",0.49838830935854095
1,0.0,0.3333,0.0,1.0,0.3333,0.5,2.0,3.0,3,3,316,0.005568265914916992,0.018369197845458984,True,refined_indep_facts,original,0.007161378860473633,0.0021538734436035156,1,"frozenset({(0, 2)})",2.370315719698346
0,0.0,0.0,0.0,,0.0,,3.0,4.0,3,3,316,0.005568265914916992,0.018369197845458984,True,refined_indep_facts,refined_indep_facts,0.007161378860473633,0.001878976821899414,0,frozenset(),0.7778245547363787
1,0.0,0.3333,0.0,1.0,0.3333,0.5,2.0,3.0,3,3,316,0.005568265914916992,0.018369197845458984,True,refined_indep_facts,arrows_sum,0.007161378860473633,0.00030541419982910156,1,"frozenset({(0, 2)})",0.49838830935854095
1,0.0,0.3333,0.0,1.0,0.3333,0.5,2.0,3.0,3,3,316,0.005568265914916992,0.018369197845458984,True,refined_indep_facts,arrows_mean,0.007161378860473633,0.0002791881561279297,1,"frozenset({(0, 2)})",0.49838830935854095
2,0.0,0.6667,0.0,1.0,0.6667,0.8,1.0,2.0,3,3,8266,0.005568265914916992,0.023461580276489258,True,original,original,0.0196075439453125,0.0010631084442138672,2,"frozenset({(0, 1), (2, 1)})",3.0508700189959255
2,0.0,0.6667,0.0,1.0,0.6667,0.8,1.0,2.0,3,3,8266,0.005568265914916992,0.023461580276489258,True,original,refined_indep_facts,0.0196075439453125,0.0007250308990478516,2,"frozenset({(0, 1), (2, 1)})",0.3499206670890432
2,0.0,0.6667,0.0,1.0,0.6667,0.8,1.0,2.0,3,3,8266,0.005568265914916992,0.023461580276489258,True,original,arrows_sum,0.0196075439453125,0.0001888275146484375,2,"frozenset({(0, 1), (2, 1)})",0.9999969208945272
2,0.0,0.6667,0.0,1.0,0.6667,0.8,1.0,2.0,3,3,8266,0.005568265914916992,0.023461580276489258,True,original,arrows_mean,0.0196075439453125,0.00017571449279785156,2,"frozenset({(0, 1), (2, 1)})",0.4999984604472636
1,0.0,0.3333,0.0,1.0,0.3333,0.5,2.0,3.0,3,3,8266,0.005568265914916992,0.023461580276489258,True,refined_indep_facts,original,0.0076427459716796875,0.008883953094482422,1,"frozenset({(0, 1)})",1.0597333165106948
