dataset,num_nodes,num_edges,impl,seed,time,remove_n,dag_nnz,dag_fdr,dag_tpr,dag_fpr,dag_precision,dag_recall,dag_F1,dag_shd,dag_sid,cpdag_nnz,cpdag_fdr,cpdag_tpr,cpdag_fpr,cpdag_precision,cpdag_recall,cpdag_F1,cpdag_shd,cpdag_sid_low,cpdag_sid_high,AP,CIT_Precision,CIT_Recall,CIT_F1,prior_filename,prior_forbidden_length,prior_forbidden_Precision,prior_forbidden_Recall,prior_forbidden_F1,prior_required_length,prior_required_Precision,prior_required_Recall,prior_required_F1
survey,6,6,org,4135,0.1358355693519115,18,4,0.25,0.5,0.1111,0.75,0.5,0.6,3,13,4,0.25,0.5,0.1111,0.75,0.5,0.6,3,13,13,0.8479043990447499,0.7857142857142857,0.7333333333333333,0.7586206896551724,survey,,,,,,,,
survey,6,6,org,5174,0.3145821127109229,36,5,0.7,0.25,0.38885,0.3,0.25,0.2727,4.5,23.5,5,0.4,0.5,0.2222,0.4,0.3333,0.3636,5,17,24,0.9388595593042722,0.925,0.7254901960784313,0.8131868131868133,survey,,,,,,,,
survey,6,6,org,5303,0.2289701518602669,32,5,0.6,0.3333,0.3333,0.4,0.3333,0.3636,5,16,5,0.6,0.3333,0.3333,0.4,0.3333,0.3636,5,16,16,0.9556607072096922,1,0.5142857142857142,0.6792452830188679,survey,,,,,,,,
survey,6,6,org,3942,0.2197505119256675,34,4,0.375,0.4166499999999999,0.16665,0.625,0.4166499999999999,0.5,3.5,12.5,4,0.25,0.5,0.1111,0.75,0.5,0.6,4,12,19,0.9043289549041738,1,0.4285714285714285,0.6,survey,,,,,,,,
survey,6,6,org,2778,0.1502477396279573,18,4,0.5833333333333334,0.2777666666666666,0.2592333333333333,0.4166666666666667,0.2777666666666666,0.3333333333333333,4.333333333333333,17.333333333333332,4,0.25,0.5,0.1111,0.75,0.5,0.6,5,17,18,0.882093962,0.75,0.7142857142857143,0.7317073170731706,survey,,,,,,,,
survey,6,6,org,2804,0.2694672597572207,37,3,0.6,0.2,0.19998,0.4,0.2,0.3333,4.8,18.4,3,0.13332,0.43332,0.04444,0.86668,0.43332,0.57778,5,12.8,21.6,0.8619774321265099,1,0.2916666666666667,0.4516129032258064,survey,,,,,,,,
survey,6,6,org,2145,0.3888896671123802,44,6,0.4166499999999999,0.58335,0.27775,0.58335,0.58335,0.58335,2.5,13.5,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,4,13,14,0.9224981019665974,0.9444444444444444,0.5964912280701754,0.7311827956989247,survey,,,,,,,,
survey,6,6,org,150,0.1291986526921391,16,4,0.45,0.36666,0.19998,0.55,0.36666,0.4399999999999999,3.8,17.8,4,0,0.6667,0,0.75,0.5,0.6,5,15,29,0.9509450375046352,0.8666666666666667,0.65,0.7428571428571429,survey,,,,,,,,
survey,6,6,org,8823,0.2031580680049955,33,3,0.6,0.1999999999999999,0.19998,0.3999999999999999,0.1999999999999999,0.3333,4.8,18.2,3,0,0.5,0,1,0.5,0.6667,5,10,24,0.990901711,1,0.3714285714285714,0.5416666666666666,survey,,,,,,,,
survey,6,6,org,4669,0.4238842511549592,49,6,0.58335,0.4166499999999999,0.38885,0.4166499999999999,0.4166499999999999,0.4166499999999999,3.5,19.5,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,5,13,20,0.9000983882889204,0.967741935,0.5454545454545454,0.6976744186046512,survey,,,,,,,,
survey,6,6,org,6131,0.2646208070218563,37,5,0.4666666666666666,0.4444333333333333,0.2592333333333333,0.5333333333333333,0.4444333333333333,0.4848666666666667,3.333333333333333,16.333333333333332,5,0.2,0.6667,0.1111,0.8000000000000002,0.6667,0.7273,4,16,17,0.9373264091264076,1,0.6428571428571429,0.782608696,survey,,,,,,,,
survey,6,6,org,2617,0.2010157499462366,30,4,0.5,0.333325,0.2222,0.5,0.333325,0.3999999999999999,4,15.5,4,0.25,0.5,0.1111,0.75,0.5,0.6,6,12,19,0.9473452663586958,1,0.5862068965517241,0.7391304347826086,survey,,,,,,,,
survey,6,6,org,7166,0.2338643399998545,24,5,0.4,0.5,0.2222,0.6,0.5,0.5455,3,14,5,0.4,0.5,0.2222,0.6,0.5,0.5455,3,14,14,0.8587792599956603,0.8181818181818182,0.6428571428571429,0.7200000000000001,survey,,,,,,,,
survey,6,6,org,1428,0.1730572800152003,25,4,0.5833333333333334,0.2777666666666666,0.2592333333333333,0.4166666666666667,0.2777666666666666,0.3333333333333333,4.333333333333333,17.333333333333332,4,0.25,0.5,0.1111,0.75,0.5,0.6,5,17,18,0.9206611811391224,1,0.6666666666666666,0.8,survey,,,,,,,,
survey,6,6,org,8328,0.2561659682542085,35,4,0.625,0.25,0.27775,0.375,0.25,0.3,4.5,18.5,4,0.5,0.3333,0.2222,0.5,0.3333,0.4,5,18,19,0.9436706418546236,1,0.6046511627906976,0.7536231884057971,survey,,,,,,,,
survey,6,6,org,8289,0.2266000397503376,37,3,0.53334,0.2333399999999999,0.17776,0.4666599999999999,0.2333399999999999,0.3888749999999999,4.6,18,3,0,0.5,0,1,0.5,0.6667,5,10,24,0.9270816722264794,1,0.3214285714285714,0.4864864864864865,survey,,,,,,,,
survey,6,6,org,5978,0.2274962221272289,26,5,0.4,0.5,0.2222,0.6,0.5,0.5455,3,14,5,0.4,0.5,0.2222,0.6,0.5,0.5455,3,14,14,0.9067603686234972,0.8846153846153846,0.6764705882352942,0.7666666666666666,survey,,,,,,,,
survey,6,6,org,5511,0.3254884383641183,37,5,0.4666666666666666,0.4444333333333333,0.2592333333333333,0.5333333333333333,0.4444333333333333,0.4848666666666667,3.333333333333333,16.333333333333332,5,0.2,0.6667,0.1111,0.8000000000000002,0.6667,0.7273,4,16,17,0.9282168255677352,0.9629629629629628,0.5909090909090909,0.732394366,survey,,,,,,,,
