dataset,num_nodes,num_edges,impl,seed,time,remove_n,dag_nnz,dag_fdr,dag_tpr,dag_fpr,dag_precision,dag_recall,dag_F1,dag_shd,dag_sid,cpdag_nnz,cpdag_fdr,cpdag_tpr,cpdag_fpr,cpdag_precision,cpdag_recall,cpdag_F1,cpdag_shd,cpdag_sid_low,cpdag_sid_high,AP,CIT_Precision,CIT_Recall,CIT_F1
dag_10_nodes_10_edges_degrees_ER,10,10,new,183,0.6156920781359076,30,9.0,0.33330000000000004,0.6,0.0857,0.6667000000000001,0.6,0.63156,4.0,21.6,9.0,0.1111,0.8,0.028600000000000004,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9730618244281448,0.9555555555555556,0.8431372549019608,0.8958333333333333
dag_10_nodes_10_edges_degrees_ER,10,10,new,7977,0.5131992101669312,37,9.0,0.35552,0.58,0.09142,0.64448,0.58,0.6105200000000001,4.2,22.6,9.0,0.1111,0.8,0.028600000000000004,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9663618386951632,0.9397590361445783,0.7722772277227723,0.8478260869565218
dag_10_nodes_10_edges_degrees_ER,10,10,new,3199,0.41721589118242264,42,8.0,0.325,0.54,0.07428,0.675,0.54,0.60002,4.6,23.4,8.0,0.125,0.7,0.028600000000000004,0.625,0.5,0.5556,3.0,17.0,30.0,0.9689735044581564,0.9454545454545454,0.6265060240963856,0.753623188405797
dag_10_nodes_10_edges_degrees_ER,10,10,new,316,0.8049707971513271,65,9.0,0.33330000000000004,0.6,0.0857,0.6667,0.6,0.63158,4.0,21.8,9.0,0.15553999999999998,0.76,0.04,0.6667,0.6,0.6316,2.8,13.2,29.8,0.9760243724451281,1.0,0.5982905982905983,0.748663101604278
dag_10_nodes_10_edges_degrees_ER,10,10,new,8266,0.5886843428015709,38,9.0,0.39997999999999995,0.54,0.10286,0.60002,0.54,0.56842,4.6,25.0,9.0,0.1111,0.8,0.028600000000000004,0.6667,0.6,0.6316,2.0,12.0,31.0,0.9822136389353144,0.975609756097561,0.8,0.8791208791208791
dag_10_nodes_10_edges_degrees_random,10,10,org,7816,0.3587068887427449,47,6.0,0.11113333333333332,0.5333333333333333,0.019066666666666666,0.8888666666666666,0.5333333333333333,0.6666666666666666,4.666666666666667,14.666666666666666,6.0,0.0,0.6,0.0,1.0,0.6,0.75,5.0,10.0,18.0,0.8802745758086004,1.0,0.391304347826087,0.5625
dag_10_nodes_10_edges_degrees_random,10,10,org,3578,0.270174328237772,45,5.8,0.34666,0.38,0.05711999999999999,0.65334,0.38,0.48,6.2,26.0,5.8,0.0,0.5800000000000001,0.0,0.82664,0.48,0.60666,7.0,13.2,32.4,0.870948769026153,0.9285714285714286,0.30952380952380953,0.46428571428571436
dag_10_nodes_10_edges_degrees_random,10,10,org,2656,0.4037771737203002,62,5.0,0.30000000000000004,0.35,0.04285,0.7,0.35,0.46665,6.5,26.0,5.0,0.0,0.5,0.0,0.8,0.4,0.5333,7.0,14.0,30.0,0.8996782043560105,1.0,0.1346153846153846,0.23728813559322035
dag_10_nodes_10_edges_degrees_random,10,10,org,2688,0.2972588390111923,48,6.0,0.36666,0.38,0.06284,0.63334,0.38,0.475,6.2,26.2,6.0,0.0,0.6,0.0,0.8333,0.5,0.625,7.0,13.0,33.0,0.851708330923549,0.9411764705882353,0.3404255319148936,0.5
dag_10_nodes_10_edges_degrees_random,10,10,org,2494,0.3303245841525495,48,7.0,0.22858,0.54,0.0457,0.7714200000000001,0.54,0.6352800000000001,4.6,22.4,7.0,0.02858,0.68,0.00572,0.8571,0.6,0.7059,4.2,13.6,31.2,0.909287425523263,1.0,0.2916666666666667,0.45161290322580644
dag_10_nodes_10_edges_degrees_random,10,10,org,183,0.11918307235464454,3,7.0,0.22858,0.54,0.0457,0.7714200000000001,0.54,0.6352800000000001,4.6,21.8,7.0,0.0,0.7,0.0,0.8571,0.6,0.7059,6.0,12.0,36.0,0.8724104359192669,0.7647058823529411,0.9512195121951219,0.8478260869565216
dag_10_nodes_10_edges_degrees_random,10,10,org,7977,0.302539573982358,39,8.0,0.325,0.5399999999999999,0.07428,0.675,0.5399999999999999,0.60002,4.6,21.2,8.0,0.125,0.7,0.028600000000000004,0.875,0.7,0.7778,6.0,13.0,25.0,0.9419902930574271,0.926829268292683,0.6031746031746031,0.7307692307692307
dag_10_nodes_10_edges_degrees_random,10,10,org,3199,0.28661933122202754,40,6.0,0.5,0.3,0.0857,0.5,0.3,0.375,7.0,30.0,6.0,0.3333,0.4,0.0571,0.5,0.3,0.375,8.0,23.0,37.0,0.8956797502736001,0.8421052631578947,0.35555555555555557,0.5
dag_10_nodes_10_edges_degrees_random,10,10,org,316,0.425377587787807,52,7.0,0.22858,0.5399999999999999,0.0457,0.7714200000000001,0.5399999999999999,0.6352800000000001,4.6,16.6,7.0,0.0,0.7,0.0,1.0,0.7,0.8234999999999999,5.0,9.0,21.0,0.9004034654272295,0.9354838709677419,0.4461538461538462,0.6041666666666666
dag_10_nodes_10_edges_degrees_random,10,10,org,8266,0.3930378588847816,59,5.0,0.5,0.25,0.07139999999999999,0.5,0.25,0.33335000000000004,7.5,31.0,5.0,0.2,0.4,0.02855,0.6000000000000001,0.30000000000000004,0.4,7.5,19.0,32.0,0.9120033324883832,,0.0,
dag_10_nodes_10_edges_degrees_random,10,10,new,7816,0.3000681083649397,47,6.0,0.11113333333333332,0.5333333333333333,0.019066666666666666,0.8888666666666666,0.5333333333333333,0.6666666666666666,4.666666666666667,14.666666666666666,6.0,0.0,0.6,0.0,1.0,0.6,0.75,5.0,10.0,18.0,0.8802745758086004,1.0,0.391304347826087,0.5625
dag_10_nodes_10_edges_degrees_random,10,10,new,3578,0.30399471800774336,45,5.2,0.19334,0.42000000000000004,0.02858,0.8066600000000002,0.42000000000000004,0.55166,5.8,21.0,5.2,0.0,0.52,0.0,0.8066600000000002,0.42000000000000004,0.55164,7.0,13.8,30.6,0.870948769026153,0.9285714285714286,0.30952380952380953,0.46428571428571436
dag_10_nodes_10_edges_degrees_random,10,10,new,2656,0.37943443609401584,62,5.0,0.26666666666666666,0.3666666666666667,0.0381,0.7333333333333334,0.3666666666666667,0.4888666666666667,6.333333333333333,24.0,5.0,0.0,0.5,0.0,0.8000000000000002,0.4000000000000001,0.5333,7.0,14.0,30.0,0.8996782043560105,1.0,0.1346153846153846,0.23728813559322035
dag_10_nodes_10_edges_degrees_random,10,10,new,2688,0.35487939324229956,48,6.0,0.23333999999999996,0.45999999999999996,0.04,0.76666,0.45999999999999996,0.575,5.4,22.0,6.0,0.0,0.6,0.0,0.8333,0.5,0.625,7.0,13.0,33.0,0.851708330923549,0.9411764705882353,0.3404255319148936,0.5
dag_10_nodes_10_edges_degrees_random,10,10,new,2494,0.36933339573442936,48,7.0,0.17143999999999998,0.5800000000000001,0.03428,0.8285600000000001,0.5800000000000001,0.68234,4.2,19.2,7.0,0.0,0.7,0.0,0.8571,0.6,0.7059,4.0,12.0,32.0,0.909287425523263,1.0,0.2916666666666667,0.45161290322580644
dag_10_nodes_10_edges_degrees_random,10,10,new,183,0.1240815375931561,3,7.0,0.39999999999999997,0.42000000000000004,0.07998,0.6000000000000001,0.42000000000000004,0.4941,5.8,27.0,7.0,0.0,0.7,0.0,0.8571,0.6,0.7059,6.0,12.0,36.0,0.8724104359192669,0.7647058823529411,0.9512195121951219,0.8478260869565216
dag_10_nodes_10_edges_degrees_random,10,10,new,7977,0.34419083315879107,39,8.0,0.35,0.52,0.07998,0.65,0.52,0.5778,4.8,22.2,8.0,0.125,0.7,0.028600000000000004,0.875,0.7,0.7778,6.0,13.0,25.0,0.9419902930574271,0.926829268292683,0.6031746031746031,0.7307692307692307
