dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,run_idx,rep,seed,status,error,raw_graph_path,true_graph_path
survey,FGS,0.10879111289978027,4,0.75,0.1667,0.3333,0.25,0.1667,0.2,8.0,21,22,2047,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0021_seed_2047.npz,
survey,FGS,0.1572589874267578,4,0.5,0.3333,0.2222,0.5,0.3333,0.4,6.0,22,23,2048,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0022_seed_2048.npz,
survey,FGS,0.157118558883667,4,0.75,0.1667,0.3333,0.25,0.1667,0.2,8.0,23,24,2049,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0023_seed_2049.npz,
survey,FGS,0.10291051864624023,4,0.75,0.1667,0.3333,0.25,0.1667,0.2,8.0,24,25,2050,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0024_seed_2050.npz,
survey,FGS,0.11578083038330078,4,0.5,0.3333,0.2222,0.5,0.3333,0.4,6.0,25,26,2051,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0025_seed_2051.npz,
survey,FGS,0.1538069248199463,4,0.5,0.3333,0.2222,0.5,0.3333,0.4,6.0,26,27,2052,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0026_seed_2052.npz,
survey,FGS,0.10309696197509766,3,0.3333,0.3333,0.1111,0.6667,0.3333,0.4444,5.0,27,28,2053,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0027_seed_2053.npz,
survey,FGS,0.1671457290649414,4,0.75,0.1667,0.3333,0.25,0.1667,0.2,8.0,28,29,2054,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0028_seed_2054.npz,
survey,FGS,0.16507315635681152,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,7.0,29,30,2055,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0029_seed_2055.npz,
survey,FGS,0.1873486042022705,4,0.5,0.3333,0.2222,0.5,0.3333,0.4,6.0,30,31,2056,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0030_seed_2056.npz,
survey,FGS,0.16462469100952148,2,0.5,0.1667,0.1111,0.5,0.1667,0.25,6.0,31,32,2057,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0031_seed_2057.npz,
survey,FGS,0.19063138961791992,5,0.8,0.1667,0.4444,0.2,0.1667,0.1818,8.0,32,33,2058,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0032_seed_2058.npz,
survey,FGS,0.1597301959991455,2,0.5,0.1667,0.1111,0.5,0.1667,0.25,6.0,33,34,2059,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0033_seed_2059.npz,
survey,FGS,0.16613268852233887,4,0.75,0.1667,0.3333,0.25,0.1667,0.2,8.0,34,35,2060,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0034_seed_2060.npz,
survey,FGS,0.16394543647766113,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,7.0,35,36,2061,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0035_seed_2061.npz,
survey,FGS,0.16791200637817383,4,0.75,0.1667,0.3333,0.25,0.1667,0.2,8.0,36,37,2062,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0036_seed_2062.npz,
survey,FGS,0.16830849647521973,4,0.75,0.1667,0.3333,0.25,0.1667,0.2,8.0,37,38,2063,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0037_seed_2063.npz,
survey,FGS,0.16383004188537598,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,7.0,38,39,2064,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0038_seed_2064.npz,
survey,FGS,0.1632242202758789,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,7.0,39,40,2065,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0039_seed_2065.npz,
survey,FGS,0.1669766902923584,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,7.0,40,41,2066,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0040_seed_2066.npz,
survey,FGS,0.14707159996032715,4,0.75,0.1667,0.3333,0.25,0.1667,0.2,8.0,41,42,2067,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0041_seed_2067.npz,
survey,FGS,0.1649174690246582,5,0.8,0.1667,0.4444,0.2,0.1667,0.1818,8.0,42,43,2068,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0042_seed_2068.npz,
survey,FGS,0.16088175773620605,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,7.0,43,44,2069,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0043_seed_2069.npz,
survey,FGS,0.1670832633972168,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,7.0,44,45,2070,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0044_seed_2070.npz,
survey,FGS,0.16354918479919434,4,0.75,0.1667,0.3333,0.25,0.1667,0.2,8.0,45,46,2071,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0045_seed_2071.npz,
survey,FGS,0.16350412368774414,4,0.75,0.1667,0.3333,0.25,0.1667,0.2,8.0,46,47,2072,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0046_seed_2072.npz,
survey,FGS,0.10869455337524414,4,0.75,0.1667,0.3333,0.25,0.1667,0.2,8.0,47,48,2073,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0047_seed_2073.npz,
survey,FGS,0.1629161834716797,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,7.0,48,49,2074,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0048_seed_2074.npz,
survey,FGS,0.1594688892364502,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,7.0,49,50,2075,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_bnlearn_alpha001_nowrong_noweight_50rep_mpc_fgs/survey/FGS/run_0049_seed_2075.npz,
