dataset,dataset_label,metric,metric_label,higher_better,subject,comparator,n,subject_mean,comparator_mean,delta_mean,delta_std,subject_better_n,t,p,p_bh,sig_bh,subject_significantly_better
asia,Asia (8),cpdag_f1_avg,$\Delta$ CPDAG F1 avg,True,OptABA-PC,MPC,49,0.5356673469387755,0.4810142857142857,0.05465306122448977,0.05878537977975765,49,5.070621547124547,2.2357303198869773e-06,7.949263359598142e-06,***,True
asia,Asia (8),cpdag_f1_best,$\Delta$ CPDAG F1 best,True,OptABA-PC,MPC,49,0.5386612244897959,0.4810142857142857,0.057646938775510165,0.056921151978126784,49,5.2293384420268625,1.2056762158695936e-06,4.8227048634783745e-06,***,True
asia,Asia (8),dag_shd_avg,$\Delta$ DAG SHD avg,False,OptABA-PC,MPC,49,4.510204081632653,6.0,-1.4897959183673466,0.5906369788764724,49,-17.65648241058149,1.2432479085486487e-22,1.5913573229422704e-21,***,True
asia,Asia (8),dag_shd_best,$\Delta$ DAG SHD best,False,OptABA-PC,MPC,49,3.7346938775510203,6.0,-2.2653061224489797,0.569192051803901,49,-27.85903774813424,2.7383935164360693e-31,5.841906168396948e-30,***,True
asia,Asia (8),dag_f1_avg,$\Delta$ DAG F1 avg,True,OptABA-PC,MPC,49,0.6651442865377664,0.39999999999999997,0.26514428653776645,0.00910475459097772,49,203.8506350960368,3.548755091770859e-72,2.2712032587333498e-70,***,True
asia,Asia (8),dag_f1_best,$\Delta$ DAG F1 best,True,OptABA-PC,MPC,49,0.7523544988905513,0.39999999999999997,0.35235449889055126,0.04464958118611146,49,55.240865125988556,4.177550360822078e-45,1.336816115463065e-43,***,True
er5,ER (5),cpdag_shd_avg,$\Delta$ CPDAG SHD avg,False,OptABA-PC,MPC,50,2.865197584088305,4.8,-1.9348024159116943,1.9377297684896007,31,-3.4273888079168224,0.0009721958295640763,0.0018854706997606329,**,True
er5,ER (5),cpdag_shd_best,$\Delta$ CPDAG SHD best,False,OptABA-PC,MPC,50,0.22,4.8,-4.58,3.3630040021337098,35,-8.915329252058832,1.4967320547118235e-12,8.708259227414245e-12,***,True
er5,ER (5),cpdag_f1_avg,$\Delta$ CPDAG F1 avg,True,OptABA-PC,MPC,50,0.4878369527347092,0.542534,-0.05469704726529078,0.1585852398790183,12,-1.6166351034799153,0.10918914405365454,0.14868308977518915,ns,False
er5,ER (5),cpdag_f1_best,$\Delta$ CPDAG F1 best,True,OptABA-PC,MPC,50,0.6176619999999999,0.542534,0.075128,0.1590662883767619,21,2.1084931828893643,0.03754118339773618,0.060065893436377894,.,False
er5,ER (5),dag_shd_avg,$\Delta$ DAG SHD avg,False,OptABA-PC,MPC,50,5.228843732275504,7.06,-1.8311562677244961,2.5070248664495196,35,-5.471754796037244,1.4101093491578916e-06,5.3086469615355915e-06,***,True
er5,ER (5),dag_shd_best,$\Delta$ DAG SHD best,False,OptABA-PC,MPC,50,0.18,7.06,-6.88,2.5526296964790918,50,-19.335285256853446,3.5691403058106853e-28,5.7106244892970965e-27,***,True
er5,ER (5),dag_f1_avg,$\Delta$ DAG F1 avg,True,OptABA-PC,MPC,50,0.4898357878889618,0.357894,0.1319417878889618,0.28745574800956813,31,3.3194010364973265,0.001689384485445897,0.0031800178549569826,**,True
er5,ER (5),dag_f1_best,$\Delta$ DAG F1 best,True,OptABA-PC,MPC,50,0.9846440710574808,0.357894,0.6267500710574808,0.2938713808200529,50,15.261763979639515,1.0186863195700738e-21,1.0865987408747454e-20,***,True
er8,ER (8),cpdag_shd_avg,$\Delta$ CPDAG SHD avg,False,OptABA-PC,MPC,47,10.55280484450393,8.042553191489361,2.510251653014568,4.109783858162496,13,4.042271567037076,0.00010981002111506543,0.0002509943339772924,***,False
er8,ER (8),cpdag_shd_best,$\Delta$ CPDAG SHD best,False,OptABA-PC,MPC,47,6.723404255319149,8.042553191489361,-1.3191489361702127,3.9623575710445493,29,-1.9155440441991005,0.0586264789555944,0.09151450373556198,.,False
er8,ER (8),cpdag_f1_avg,$\Delta$ CPDAG F1 avg,True,OptABA-PC,MPC,47,0.5556435113074583,0.6396361702127661,-0.08399265890530758,0.16855752843175564,14,-3.093325880572312,0.002621021966065717,0.004659594606339052,**,False
er8,ER (8),cpdag_f1_best,$\Delta$ CPDAG F1 best,True,OptABA-PC,MPC,47,0.6921829787234043,0.6396361702127661,0.05254680851063829,0.16822828414811541,30,1.7752588193896395,0.07925082007831712,0.11271227744471768,ns,False
er8,ER (8),dag_shd_avg,$\Delta$ DAG SHD avg,False,OptABA-PC,MPC,47,9.74638431755835,7.531914893617022,2.2144694239413276,3.1609548176029074,13,4.501709410349563,2.0390149790534332e-05,5.6737808112791184e-05,***,False
er8,ER (8),dag_shd_best,$\Delta$ DAG SHD best,False,OptABA-PC,MPC,47,5.212765957446808,7.531914893617022,-2.3191489361702127,3.217522561514921,33,-4.192442517041759,6.968697492974602e-05,0.00017153716905783637,***,True
er8,ER (8),dag_f1_avg,$\Delta$ DAG F1 avg,True,OptABA-PC,MPC,47,0.5640041823677733,0.6146659574468085,-0.05066177507903517,0.16441975978115053,19,-1.89519147502592,0.06121265462659575,0.09327642609766972,.,False
er8,ER (8),dag_f1_best,$\Delta$ DAG F1 best,True,OptABA-PC,MPC,47,0.7628494574192365,0.6146659574468085,0.14818349997242797,0.17516719983117848,36,5.025183034661578,2.5319070094247033e-06,8.528528873851633e-06,***,True
sf5,SF (5),cpdag_shd_avg,$\Delta$ CPDAG SHD avg,False,OptABA-PC,MPC,50,3.57480252485986,1.4,2.17480252485986,2.3668931597708154,8,7.078915889498924,2.543393341769916e-10,1.252132106717497e-09,***,False
sf5,SF (5),cpdag_shd_best,$\Delta$ CPDAG SHD best,False,OptABA-PC,MPC,50,1.06,1.4,-0.34,1.8251083277885907,16,-1.084465357155861,0.28087585944836424,0.30993198283957435,ns,False
