dataset,num_nodes,num_edges,impl,run_id,time,remove_n,dag_nnz,dag_fdr,dag_tpr,dag_fpr,dag_precision,dag_recall,dag_F1,dag_shd,dag_sid,cpdag_nnz,cpdag_fdr,cpdag_tpr,cpdag_fpr,cpdag_precision,cpdag_recall,cpdag_F1,cpdag_shd,cpdag_sid_low,cpdag_sid_high
survey,6,6,org,10,9.552162287058309,41,8,0.75,0.3333,0.6667,0.25,0.3333,0.2857,7.0,23.0,8,0.5,0.6667,0.4444,0.5,0.6667,0.5714,7.0,12.0,29.0
survey,6,6,org,11,4.757949890918098,26,5,0.8,0.1667,0.4444,0.2,0.1667,0.1818,7.0,23.0,5,0.4,0.5,0.2222,0.6,0.5,0.5455,7.0,15.0,24.0
survey,6,6,org,12,1.6128375160042197,11,4,0.75,0.1667,0.3333,0.25,0.1667,0.2,6.0,16.0,4,0.75,0.1667,0.3333,0.25,0.1667,0.2,6.0,16.0,19.0
survey,6,6,org,13,3.5533887279452756,39,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,2.0,9.0,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,2.0,9.0,9.0
survey,6,6,org,14,2.2299955330090597,24,6,1.0,0.0,0.6667,0.0,0.0,,7.0,24.0,6,0.6667,0.3333,0.4444,0.3333,0.3333,0.3333,7.0,17.0,24.0
survey,6,6,org,15,3.090269075008109,28,5,0.4,0.5,0.2222,0.6,0.5,0.5455,3.0,14.0,5,0.4,0.5,0.2222,0.6,0.5,0.5455,3.0,14.0,14.0
survey,6,6,org,16,2.832170174107887,31,6,0.1667,0.8333,0.1111,0.8333,0.8333,0.8333,2.0,10.0,6,0.1667,0.8333,0.1111,0.8333,0.8333,0.8333,2.0,4.0,17.0
survey,6,6,org,17,2.2723850529873744,18,5,0.2,0.6667,0.1111,0.8,0.6667,0.7273,3.0,9.0,5,0.2,0.6667,0.1111,0.8,0.6667,0.7273,3.0,9.0,15.0
survey,6,6,org,18,5.702399896108545,35,7,0.4286,0.6667,0.3333,0.5714,0.6667,0.6154,3.0,12.0,7,0.4286,0.6667,0.3333,0.5714,0.6667,0.6154,3.0,12.0,18.0
survey,6,6,org,19,5.657054539071396,26,5,0.8,0.1667,0.4444,0.2,0.1667,0.1818,5.0,24.0,5,0.4,0.5,0.2222,0.4,0.3333,0.3636,5.0,17.0,24.0
survey,6,6,org,20,2.8432718309341,22,8,0.75,0.3333,0.6667,0.25,0.3333,0.2857,7.0,21.0,8,0.5,0.6667,0.4444,0.5,0.6667,0.5714,7.0,10.0,23.0
survey,6,6,org,21,1.2163075589342043,18,5,0.4,0.5,0.2222,0.6,0.5,0.5455,3.0,14.0,5,0.4,0.5,0.2222,0.6,0.5,0.5455,3.0,14.0,14.0
survey,6,6,org,22,2.6706985679920763,26,5,0.4,0.5,0.2222,0.6,0.5,0.5455,4.0,17.0,5,0.4,0.5,0.2222,0.6,0.5,0.5455,5.0,12.0,24.0
survey,6,6,org,23,6.354454000014812,44,8,0.5,0.6667,0.4444,0.5,0.6667,0.5714,4.0,12.0,8,0.5,0.6667,0.4444,0.5,0.6667,0.5714,6.0,12.0,13.0
