nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
3,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,random_graphs_n3_e3,5174,3,3,3,3,0,2,1,12,0.01430964469909668,0.006817817687988281,True,v2,original_ranking,3,"[(1, 2), (0, 2), (0, 1)]",0.0020360946655273438,0.014195442199707031,4.499998451095406
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0,random_graphs_n3_e3,5303,3,3,3,3,0,2,1,12,0.01430964469909668,0.006903648376464844,True,v2,original_ranking,3,"[(1, 2), (0, 2), (0, 1)]",0.0020301342010498047,0.014159917831420898,4.499997614557312
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,2.0,random_graphs_n3_e3,3942,3,3,3,3,0,2,1,12,0.01430964469909668,0.0068492889404296875,True,v2,original_ranking,3,"[(1, 2), (0, 2), (0, 1)]",0.0020248889923095703,0.014133214950561523,4.499999744236767
2,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,3.0,random_graphs_n3_e3,2778,3,3,3,3,0,2,1,12,0.01430964469909668,0.007959127426147461,True,v2,original_ranking,2,"[(2, 0), (1, 2)]",0.0020971298217773438,0.014197111129760742,4.4435365515741125
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,random_graphs_n3_e3,2804,3,3,3,3,0,2,1,12,0.01430964469909668,0.007925271987915039,True,v2,original_ranking,2,"[(2, 1), (0, 1)]",0.0020987987518310547,0.014122724533081055,4.402381173637977
2,0.0,0.6667,0.0,1.0,0.6667,0.8,1.0,2.0,random_graphs_n3_e3,2145,3,3,3,3,0,2,1,12,0.01430964469909668,0.007864713668823242,True,v2,original_ranking,2,"[(1, 2), (0, 2)]",0.002042531967163086,0.014080047607421875,2.778601849891509
2,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,3.0,random_graphs_n3_e3,150,3,3,3,3,0,2,1,12,0.01430964469909668,0.008794307708740234,True,v2,original_ranking,2,"[(2, 0), (1, 0)]",0.0021162033081054688,0.01430058479309082,4.060872951726686
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,random_graphs_n3_e3,8823,3,3,3,3,0,2,1,12,0.01430964469909668,0.006821870803833008,True,v2,original_ranking,3,"[(1, 2), (0, 2), (0, 1)]",0.0020105838775634766,0.014190196990966797,4.5
3,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,random_graphs_n3_e3,4669,3,3,3,3,0,2,1,12,0.01430964469909668,0.006857633590698242,True,v2,original_ranking,3,"[(1, 2), (0, 2), (0, 1)]",0.0019948482513427734,0.01415705680847168,4.4999965200421
3,1.0,0.0,3.0,0.0,0.0,,3.0,6.0,random_graphs_n3_e3,6131,3,3,3,3,0,2,1,12,0.01430964469909668,0.006907939910888672,True,v2,original_ranking,3,"[(1, 2), (0, 2), (0, 1)]",0.002042531967163086,0.01406097412109375,4.499965622211128
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,2.0,random_graphs_n3_e3,2617,3,3,3,3,0,2,1,12,0.01430964469909668,0.006863832473754883,True,v2,original_ranking,3,"[(1, 2), (0, 2), (0, 1)]",0.002019643783569336,0.01416325569152832,4.5
1,1.0,0.0,1.0,0.0,0.0,,3.0,6.0,random_graphs_n3_e3,7166,3,3,3,3,0,2,1,12,0.01430964469909668,0.007714509963989258,True,v2,original_ranking,1,"[(0, 1)]",0.0014951229095458984,0.011817216873168945,2.565015839480484
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,random_graphs_n3_e3,1428,3,3,3,3,0,2,1,12,0.01430964469909668,0.006891965866088867,True,v2,original_ranking,3,"[(1, 2), (0, 2), (0, 1)]",0.0020139217376708984,0.014152765274047852,4.476491030873705
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,random_graphs_n3_e3,8328,3,3,3,3,0,2,1,12,0.01430964469909668,0.006839275360107422,True,v2,original_ranking,3,"[(1, 2), (0, 2), (0, 1)]",0.0020134449005126953,0.01412200927734375,4.496759606308316
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,random_graphs_n3_e3,8289,3,3,3,3,0,2,1,12,0.01430964469909668,0.007810115814208984,True,v2,original_ranking,2,"[(2, 1), (0, 1)]",0.002107858657836914,0.014310836791992188,4.264203340647706
1,1.0,0.0,1.0,0.0,0.0,,3.0,6.0,random_graphs_n3_e3,5978,3,3,3,3,0,2,1,12,0.01430964469909668,0.007761955261230469,False,v2,original_ranking,1,"[(1, 2)]",0.001514434814453125,0.011858701705932617,2.0914607025077467
3,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,random_graphs_n3_e3,5511,3,3,3,3,0,2,1,12,0.01430964469909668,0.006793498992919922,True,v2,original_ranking,3,"[(1, 2), (0, 2), (0, 1)]",0.001988649368286133,0.013994216918945312,4.499999999618138
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,random_graphs_n3_e3,5864,3,3,3,3,0,2,1,12,0.01430964469909668,0.006934165954589844,True,v2,original_ranking,3,"[(1, 2), (0, 2), (0, 1)]",0.0020532608032226562,0.014370203018188477,4.499999987541155
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,random_graphs_n3_e3,606,3,3,3,3,0,2,1,12,0.01430964469909668,0.006907463073730469,True,v2,original_ranking,3,"[(1, 2), (0, 2), (0, 1)]",0.002010822296142578,0.013910531997680664,4.4999999999976685
2,0.0,0.6667,0.0,1.0,0.6667,0.8,1.0,2.0,random_graphs_n3_e3,1933,3,3,3,3,0,2,1,12,0.01430964469909668,0.007883548736572266,True,v2,original_ranking,2,"[(1, 2), (0, 2)]",0.0020499229431152344,0.014238834381103516,3.1090460733240475
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,2.0,random_graphs_n3_e3,6071,3,3,3,3,0,2,1,12,0.01430964469909668,0.006880044937133789,True,v2,original_ranking,3,"[(1, 2), (0, 2), (0, 1)]",0.0020182132720947266,0.014148950576782227,4.497178105168732
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,random_graphs_n3_e3,5504,3,3,3,3,0,2,1,12,0.01430964469909668,0.007824182510375977,True,v2,original_ranking,2,"[(1, 0), (2, 1)]",0.002084016799926758,0.014127254486083984,4.49019066242044
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0,random_graphs_n3_e3,5163,3,3,3,3,0,2,1,12,0.01430964469909668,0.006781578063964844,True,v2,original_ranking,3,"[(1, 2), (0, 2), (0, 1)]",0.0020079612731933594,0.01404571533203125,4.499997672651958
2,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,3.0,random_graphs_n3_e3,2406,3,3,3,3,0,2,1,12,0.01430964469909668,0.007758617401123047,True,v2,original_ranking,2,"[(2, 1), (0, 1)]",0.0021011829376220703,0.014255046844482422,4.0002573135067205
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0,random_graphs_n3_e3,304,3,3,3,3,0,2,1,12,0.01430964469909668,0.0068933963775634766,True,v2,original_ranking,3,"[(1, 2), (0, 2), (0, 1)]",0.002038240432739258,0.014199018478393555,4.5
2,1.0,0.0,2.0,0.0,0.0,,3.0,6.0,random_graphs_n3_e3,3391,3,3,3,3,0,2,1,12,0.01430964469909668,0.007699728012084961,True,v2,original_ranking,2,"[(2, 1), (0, 1)]",0.0020897388458251953,0.014111518859863281,4.0436485587739295
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,random_graphs_n3_e3,359,3,3,3,3,0,2,1,12,0.01430964469909668,0.006926536560058594,True,v2,original_ranking,3,"[(1, 2), (0, 2), (0, 1)]",0.0020525455474853516,0.014268875122070312,4.3008995394478795
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,2.0,random_graphs_n3_e3,9096,3,3,3,3,0,2,1,12,0.01430964469909668,0.00701904296875,True,v2,original_ranking,3,"[(1, 2), (0, 2), (0, 1)]",0.002025127410888672,0.014121294021606445,4.499997756808656
2,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,5.0,random_graphs_n3_e3,3533,3,3,3,3,0,2,1,12,0.01430964469909668,0.0077326297760009766,True,v2,original_ranking,2,"[(0, 1), (2, 0)]",0.0020983219146728516,0.014304876327514648,4.271952283931706
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0,random_graphs_n3_e3,4125,3,3,3,3,0,2,1,12,0.01430964469909668,0.006872892379760742,True,v2,original_ranking,3,"[(1, 2), (0, 2), (0, 1)]",0.0020079612731933594,0.014140605926513672,4.391652768552442
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,random_graphs_n3_e3,3094,3,3,3,3,0,2,1,12,0.01430964469909668,0.006909847259521484,True,v2,original_ranking,3,"[(1, 2), (0, 2), (0, 1)]",0.0020284652709960938,0.014134883880615234,4.4999999999996785
3,1.0,0.0,3.0,0.0,0.0,,3.0,6.0,random_graphs_n3_e3,6398,3,3,3,3,0,2,1,12,0.01430964469909668,0.006808757781982422,True,v2,original_ranking,3,"[(1, 2), (0, 2), (0, 1)]",0.002007007598876953,0.013812780380249023,4.439439193068042
3,0.6667,0.25,1.0,0.3333,0.25,0.2857,3.0,8.0,random_graphs_n4_e4,7816,4,4,4,4,1,3,2,12,0.011732816696166992,0.05388689041137695,True,v2,original_ranking,3,"[(2, 0), (3, 0), (3, 1)]",0.003629446029663086,0.4966106414794922,8.143887072201093
4,0.25,0.75,0.5,0.75,0.75,0.75,1.0,6.0,random_graphs_n4_e4,3578,4,4,4,4,1,3,2,12,0.011732816696166992,0.05153846740722656,True,v2,original_ranking,4,"[(1, 3), (0, 3), (0, 1), (3, 2)]",0.004765748977661133,0.6202657222747803,13.661237395889296
3,0.3333,0.5,0.5,0.6667,0.5,0.5714,2.0,4.0,random_graphs_n4_e4,2656,4,4,4,4,1,3,2,12,0.011732816696166992,0.05646014213562012,True,v2,original_ranking,3,"[(2, 1), (0, 1), (1, 3)]",0.004445075988769531,0.5677490234375,13.512927371397112
4,0.25,0.75,0.5,0.75,0.75,0.75,1.0,4.0,random_graphs_n4_e4,2688,4,4,4,4,1,3,2,12,0.011732816696166992,0.05159807205200195,True,v2,original_ranking,4,"[(2, 3), (0, 3), (0, 2), (0, 1)]",0.004782915115356445,0.6094114780426025,15.476847466831464
4,0.25,0.75,0.5,0.75,0.75,0.75,1.0,5.0,random_graphs_n4_e4,2494,4,4,4,4,1,3,2,12,0.011732816696166992,0.05064845085144043,True,v2,original_ranking,4,"[(1, 3), (0, 3), (0, 1), (0, 2)]",0.004796266555786133,0.6139450073242188,15.348440194999684
4,0.5,0.5,1.0,0.5,0.5,0.5,2.0,6.0,random_graphs_n4_e4,183,4,4,4,4,1,3,2,12,0.011732816696166992,0.05139565467834473,True,v2,original_ranking,4,"[(1, 3), (0, 3), (0, 1), (0, 2)]",0.004784345626831055,0.618229866027832,12.45803053527427
4,0.75,0.25,1.5,0.25,0.25,0.25,3.0,10.0,random_graphs_n4_e4,7977,4,4,4,4,1,3,2,12,0.011732816696166992,0.04980635643005371,True,v2,original_ranking,4,"[(2, 3), (2, 0), (1, 3), (1, 0)]",0.004295825958251953,0.5578796863555908,7.662879948107523
