nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,n_nodes,n_edges,model,seed,elapsed
7,0.8571,0.1429,0.4286,0.1429,0.1429,0.1429,8.0,26.0,7,7,ABAPC (Original),6071,12.93131709098816
11,0.6364,0.5714,0.5,0.3636,0.5714,0.4444,8.0,12.0,7,7,ABAPC (Original),5504,36.27613401412964
9,0.8889,0.1429,0.5714,0.1111,0.1429,0.125,9.0,22.0,7,7,ABAPC (Original),5163,542.9929926395416
8,0.875,0.1429,0.5,0.125,0.1429,0.1333,9.0,30.0,7,7,ABAPC (Original),2406,16.799337148666382
6,1.0,0.0,0.4286,0.0,0.0,,9.0,39.0,7,7,ABAPC (Original),304,15.79425835609436
5,0.4,0.4286,0.1429,0.6,0.4286,0.5,4.0,15.0,7,7,ABAPC (Original),3391,4.432955980300903
7,0.4286,0.5714,0.2143,0.5714,0.5714,0.5714,5.0,11.0,7,7,ABAPC (Original),359,41.585729122161865
7,0.5714,0.4286,0.2857,0.4286,0.4286,0.4286,5.0,22.0,7,7,ABAPC (Original),9096,19.22368550300598
6,0.5,0.4286,0.2143,0.5,0.4286,0.4615,4.0,24.0,7,7,ABAPC (Original),3533,322.48996591567993
6,0.0,0.8571,0.0,1.0,0.8571,0.9231,1.0,2.0,7,7,ABAPC (Original),4125,12.130803346633911
7,0.5714,0.4286,0.2857,0.4286,0.4286,0.4286,6.0,18.0,7,7,ABAPC (Original),3094,33.63725924491882
6,0.5,0.4286,0.2143,0.5,0.4286,0.4615,4.0,19.0,7,7,ABAPC (Original),6398,7.3574912548065186
