dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,run_idx,rep,seed,status,error,raw_graph_path,true_graph_path,fact_total,fact_true,fact_false,fact_retained,fact_retained_true,fact_retained_false,fact_removed,fact_removed_true,fact_removed_false,fact_precision,fact_recall,fact_f1,aspcr_model_space,aspcr_encoding,aspcr_solver_objective,aspcr_recomputed_objective,aspcr_graph_is_dag,aspcr_n_directed,aspcr_n_bidirected,aspcr_n_tailtail,aspcr_testing_time,aspcr_encoding_time,aspcr_solving_time,aspcr_data_path,aspcr_directed_path,aspcr_bidirected_path,aspcr_tailtail_path,aspcr_constraints_path,aspcr_diagnostics_path,aspcr_time_path
cancer,FGS,0.0352140041068196,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,19,20,2045,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/cancer/FGS/run_0019_seed_2045.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cancer,FGS,0.0344598153606057,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,20,21,2046,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/cancer/FGS/run_0020_seed_2046.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cancer,FGS,0.2470552809536457,4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,21,22,2047,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/cancer/FGS/run_0021_seed_2047.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cancer,FGS,0.0306482296437025,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,22,23,2048,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/cancer/FGS/run_0022_seed_2048.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cancer,FGS,0.0305205974727869,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,23,24,2049,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/cancer/FGS/run_0023_seed_2049.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cancer,FGS,0.2195041207596659,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,24,25,2050,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/cancer/FGS/run_0024_seed_2050.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cancer,FGS,0.0290377121418714,5,0.6,0.5,0.5,0.4,0.5,0.4444,3.0,25,26,2051,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/cancer/FGS/run_0025_seed_2051.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cancer,FGS,0.0328903272747993,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,26,27,2052,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/cancer/FGS/run_0026_seed_2052.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cancer,FGS,0.0306777944788336,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,27,28,2053,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/cancer/FGS/run_0027_seed_2053.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cancer,FGS,0.0285358503460884,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,28,29,2054,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/cancer/FGS/run_0028_seed_2054.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cancer,FGS,0.0308902775868773,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,29,30,2055,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/cancer/FGS/run_0029_seed_2055.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cancer,FGS,0.0290528396144509,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,30,31,2056,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/cancer/FGS/run_0030_seed_2056.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cancer,FGS,0.0321099227294325,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,31,32,2057,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/cancer/FGS/run_0031_seed_2057.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cancer,FGS,0.2450290797278285,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,32,33,2058,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/cancer/FGS/run_0032_seed_2058.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cancer,FGS,0.0324802845716476,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,33,34,2059,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/cancer/FGS/run_0033_seed_2059.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
