dataset,model,n_runs,elapsed_mean,elapsed_std,nnz_mean,nnz_std,fdr_mean,fdr_std,tpr_mean,tpr_std,fpr_mean,fpr_std,precision_mean,precision_std,recall_mean,recall_std,F1_mean,F1_std,shd_mean,shd_std
er5,FGS,50,0.09410255432128903,0.13534720575384748,2.94,0.9981615754036242,0.419334,0.34288408799476244,0.34,0.23989793748209523,0.24799999999999997,0.21968437470561242,0.32632599999999995,0.27203692862310785,0.204,0.1783827574718625,0.24569400000000002,0.20418611599044953,5.26,1.382248980791073
er5,MPC,50,0.009163446426391551,0.0025750996877388797,4.82,0.48191793695522855,0.055999999999999994,0.16059695907863922,0.9159999999999999,0.18110770276274832,0.04800000000000001,0.13130428906372638,0.7229999999999999,0.24647009091223568,0.7040000000000001,0.25631613133720915,0.711992,0.25075608836688534,0.96,1.3241863115721677
er8,FGS,50,0.07891206264495844,0.00593656220210529,5.3,1.164964745021435,0.7501879999999999,0.2244655654151497,0.16,0.13372603733463612,0.20099999999999996,0.07318553442436279,0.152958,0.15974188502910894,0.1025,0.10317040589753065,0.121556,0.12213124783592111,11.3,1.6933242273042426
er8,MPC,50,0.02337360858917232,0.009337706330046044,7.54,0.8134080483135291,0.109998,0.15064615723541014,0.835,0.15244604264580744,0.043,0.05976996720420579,0.729418,0.14079199404708742,0.685,0.14115052032406789,0.704334,0.1366847596269815,2.12,1.7915903321818152
sf5,FGS,48,0.07214713593324022,0.005834124245672022,2.4583333333333335,1.0097046826172942,0.5468770833333333,0.4082167208307128,0.2708333333333333,0.2671427487822763,0.22916666666666666,0.196373144947922,0.1805520833333333,0.28884463908385466,0.09895833333333333,0.14347124529657626,0.12122499999999999,0.17321837342965965,4.9375,1.1922845940426678
sf5,MPC,50,0.007668471336364696,0.0012387365664482345,4.02,0.31879876577744853,0.031,0.08799930426441113,0.97,0.082065180664829,0.023335999999999996,0.06743173346096791,0.874334,0.1737340045316755,0.875,0.1767766952966369,0.87357,0.17332583359625517,0.34,0.798212288268514
sf8,FGS,50,0.07347792148590085,0.004201369252188845,3.34,1.546688364848971,0.7456179999999999,0.28794044075900455,0.12573,0.1571279100034135,0.11714200000000002,0.0675015920900676,0.140714,0.23524134373022104,0.06572599999999999,0.09222961100936496,0.08299999999999999,0.11414202931936532,9.16,1.4193991255284824
sf8,MPC,50,0.021445240974426235,0.008715244574780926,6.14,1.1430357003370009,0.053484,0.0873994637820379,0.828554,0.1657926344465721,0.016184000000000004,0.02652871651625838,0.834608,0.14459272688965982,0.7342720000000001,0.18927528493100804,0.77386,0.163227798752891,1.58,1.4858516420022614
