dataset,model,n_runs,elapsed_mean,elapsed_std,nnz_mean,nnz_std,fdr_mean,fdr_std,tpr_mean,tpr_std,fpr_mean,fpr_std,precision_mean,precision_std,recall_mean,recall_std,F1_mean,F1_std,shd_mean,shd_std,fact_total_mean,fact_total_std,fact_true_mean,fact_true_std,fact_false_mean,fact_false_std,fact_retained_mean,fact_retained_std,fact_retained_true_mean,fact_retained_true_std,fact_retained_false_mean,fact_retained_false_std,fact_removed_mean,fact_removed_std,fact_removed_true_mean,fact_removed_true_std,fact_removed_false_mean,fact_removed_false_std,fact_precision_mean,fact_precision_std,fact_recall_mean,fact_recall_std,fact_f1_mean,fact_f1_std
asia,FGS,50,0.07957652581855651,0.07881205200503043,11.88,0.7461465632686054,0.40692999999999996,0.12313033620468009,0.8725,0.15044576621303962,0.245,0.0858629662869379,0.470582,0.08984785936600305,0.695,0.12153356805123967,0.5606880000000001,0.1021559145300427,6.66,2.2187512575449153,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
cancer,FGS,50,0.08258322963491078,0.08836376268624084,4.04,0.34758643030275543,0.165,0.20158808273814408,0.835,0.18633139229636544,0.11667,0.14772922313255066,0.741668,0.21370906548246324,0.745,0.2112281868945892,0.7422999999999998,0.2118428335404551,1.12,0.9612916480720413,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
earthquake,FGS,50,0.0979171065241098,0.09258801394516426,6.58,0.7024737630368142,0.469848,0.1344006047119535,0.855,0.16043626746583003,0.5266659999999999,0.18553603380695713,0.3439339999999999,0.13500418830993538,0.55,0.1515228816828316,0.421678,0.14336828597876797,4.64,1.3364589215458855,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
er5,FGS,50,0.0611943474039435,0.07258333651793542,4.72,0.6401530429259451,0.079,0.1933383182561658,0.8760000000000001,0.21718044787405588,0.068,0.16467655372559498,0.6969999999999998,0.23247582977284204,0.6639999999999999,0.2472378017461021,0.677458,0.2388535783141408,1.14,1.442927862481881,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
er8,FGS,50,0.06908987483009693,0.07414820622686913,7.54,0.7615773105863909,0.037427999999999996,0.10805176393653143,0.9075,0.13554971224534532,0.014000000000000002,0.0416986271980755,0.7678060000000001,0.15486607434707406,0.725,0.165600330276709,0.744032,0.15738627438015462,1.56,1.9914101249401857,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
sf5,FGS,50,0.06245497772470113,0.07626597215709885,3.98,0.552914356581818,0.048334,0.1336443736800264,0.935,0.13180458633747097,0.040002,0.1193361082431141,0.866,0.1802932860080814,0.85,0.1749635530559413,0.8541880000000001,0.17262171528447717,0.56,0.9293403409880338,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
sf8,FGS,50,0.06338976066559548,0.07212442188001322,5.52,1.775571192947354,0.052714,0.12352552410786384,0.7399900000000003,0.24264959555805937,0.016190000000000003,0.039212801168881116,0.7829599999999999,0.22642270474599008,0.6314139999999999,0.2582739022346435,0.6832799999999999,0.24551434140745157,2.5,1.9613614596779974,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
survey,FGS,50,0.08278786256909365,0.09025142442436716,4.88,0.8241260058203403,0.139004,0.24215140057410361,0.6899960000000002,0.2129832607775282,0.08221400000000001,0.145134646857211,0.805662,0.22930751466454966,0.6400060000000001,0.17612704414016325,0.70788,0.18698599860275472,3.88,1.5470841566492437,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
