dataset,num_nodes,num_edges,impl,seed,time,remove_n,dag_nnz,dag_fdr,dag_tpr,dag_fpr,dag_precision,dag_recall,dag_F1,dag_shd,dag_sid,cpdag_nnz,cpdag_fdr,cpdag_tpr,cpdag_fpr,cpdag_precision,cpdag_recall,cpdag_F1,cpdag_shd,cpdag_sid_low,cpdag_sid_high,AP,CIT_Precision,CIT_Recall,CIT_F1
survey,6,6,new,2415,0.28823761409148574,41,3.0,0.5,0.25,0.16665000000000002,0.5,0.25,0.33330000000000004,4.5,17.5,3.0,0.3333,0.3333,0.1111,0.6667,0.3333,0.4444,5.0,17.0,18.0,0.9309634527474061,1.0,0.3142857142857143,0.4782608695652174
survey,6,6,new,3595,0.24206574307754636,28,5.0,0.4,0.5,0.2222,0.6,0.5,0.5455,3.0,14.0,5.0,0.4,0.5,0.2222,0.6,0.5,0.5455,3.0,14.0,14.0,0.9316906367700764,0.9166666666666666,0.6666666666666666,0.7719298245614035
survey,6,6,new,4187,0.22631793282926083,35,5.0,0.30000000000000004,0.58335,0.16665000000000002,0.7,0.58335,0.6364,2.5,11.5,5.0,0.2,0.6667,0.1111,0.8,0.6667,0.7273,4.0,11.0,12.0,0.9372258444369677,1.0,0.5714285714285714,0.7272727272727273
survey,6,6,new,4135,0.12741465214639902,18,4.0,0.25,0.5,0.1111,0.75,0.5,0.6,3.0,13.0,4.0,0.25,0.5,0.1111,0.75,0.5,0.6,3.0,13.0,13.0,0.8479043990447499,0.7857142857142857,0.7333333333333333,0.7586206896551724
survey,6,6,new,5174,0.31565147265791893,36,5.0,0.5,0.41664999999999996,0.27775,0.5,0.41664999999999996,0.45455,3.5,17.5,5.0,0.4,0.5,0.2222,0.6,0.5,0.5455,4.0,17.0,18.0,0.9388595593042722,0.925,0.7254901960784313,0.8131868131868133
survey,6,6,new,5303,0.23409500578418374,32,5.0,0.6,0.3333,0.3333,0.4,0.3333,0.3636,5.0,16.0,5.0,0.6,0.3333,0.3333,0.4,0.3333,0.3636,5.0,16.0,16.0,0.9556607072096922,1.0,0.5142857142857142,0.6792452830188679
survey,6,6,new,3942,0.22664747200906277,34,4.0,0.375,0.41664999999999996,0.16665000000000002,0.625,0.41664999999999996,0.5,3.5,12.5,4.0,0.25,0.5,0.1111,0.75,0.5,0.6,4.0,12.0,19.0,0.9043289549041738,1.0,0.42857142857142855,0.6
survey,6,6,new,2778,0.13008944876492023,18,4.0,0.5833333333333334,0.27776666666666666,0.25923333333333337,0.4166666666666667,0.27776666666666666,0.3333333333333333,4.333333333333333,17.333333333333332,4.0,0.25,0.5,0.11110000000000002,0.75,0.5,0.6,5.0,17.0,18.0,0.882093962078406,0.75,0.7142857142857143,0.7317073170731706
survey,6,6,new,2804,0.23858682112768292,37,3.0,0.333325,0.333325,0.1111,0.666675,0.333325,0.44442499999999996,4.0,14.0,3.0,0.16665,0.41664999999999996,0.05555,0.83335,0.41664999999999996,0.55555,5.0,13.5,21.0,0.8619774321265099,1.0,0.2916666666666667,0.45161290322580644
survey,6,6,new,2145,0.4415628910064697,44,6.0,0.41664999999999996,0.58335,0.27775,0.58335,0.58335,0.58335,2.5,13.5,6.0,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,4.0,13.0,14.0,0.9224981019665974,0.9444444444444444,0.5964912280701754,0.7311827956989247
survey,6,6,new,150,0.11267548892647028,16,4.0,0.125,0.58335,0.05555,0.875,0.58335,0.7,2.5,9.5,4.0,0.0,0.6667,0.0,1.0,0.6667,0.8,3.0,9.0,17.0,0.9509450375046351,0.8666666666666667,0.65,0.7428571428571429
survey,6,6,new,8823,0.19880747608840466,33,3.0,0.16665,0.41664999999999996,0.05555,0.83335,0.41664999999999996,0.55555,3.5,10.5,3.0,0.0,0.5,0.0,1.0,0.5,0.6667,5.0,10.0,24.0,0.990901710820388,1.0,0.37142857142857144,0.5416666666666666
