dataset,alpha,seed,version,facts_total,true_fact_count,false_fact_count,true_indep_count,false_indep_count,true_dep_count,false_dep_count,indep_pair_count,wrong_block_pair_count,correct_block_pair_count,contradictory_pair_count,wrong_block_pairs,correct_block_pairs
survey,alpha005,2688,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,86,60,26,13,24,47,2,9,0,9,4,[],"['0,2', '0,3', '0,4', '0,5', '1,5', '2,3', '2,4', '3,4', '4,5']"
survey,alpha005,3199,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,68,47,21,6,20,41,1,10,1,9,3,"['1,3']","['0,2', '0,3', '0,4', '0,5', '1,5', '2,3', '2,4', '3,4', '4,5']"
survey,alpha005,3578,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,73,42,31,11,29,31,2,9,1,8,1,"['1,2']","['0,2', '0,3', '0,4', '0,5', '1,5', '2,3', '2,4', '4,5']"
survey,alpha005,7816,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,62,44,18,7,17,37,1,10,1,9,2,"['1,4']","['0,2', '0,3', '0,4', '0,5', '1,5', '2,3', '2,4', '3,4', '4,5']"
survey,alpha005,7977,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,46,29,17,8,17,21,0,10,1,9,1,"['1,4']","['0,2', '0,3', '0,4', '0,5', '1,5', '2,3', '2,4', '3,4', '4,5']"
survey,alpha005,8266,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,67,48,19,8,19,40,0,10,1,9,4,"['1,3']","['0,2', '0,3', '0,4', '0,5', '1,5', '2,3', '2,4', '3,4', '4,5']"
survey,alpha001,183,bnlearn_abapc_nor_matched10_others_gsq_alpha001,28,16,12,2,12,14,0,12,3,9,2,"['1,3', '1,4', '2,5']","['0,2', '0,3', '0,4', '0,5', '1,5', '2,3', '2,4', '3,4', '4,5']"
survey,alpha001,316,bnlearn_abapc_nor_matched10_others_gsq_alpha001,52,33,19,8,19,25,0,10,1,9,1,"['1,4']","['0,2', '0,3', '0,4', '0,5', '1,5', '2,3', '2,4', '3,4', '4,5']"
survey,alpha001,2494,bnlearn_abapc_nor_matched10_others_gsq_alpha001,38,20,18,5,18,15,0,11,2,9,1,"['1,3', '1,4']","['0,2', '0,3', '0,4', '0,5', '1,5', '2,3', '2,4', '3,4', '4,5']"
survey,alpha001,2656,bnlearn_abapc_nor_matched10_others_gsq_alpha001,55,33,22,7,22,26,0,10,1,9,2,"['1,3']","['0,2', '0,3', '0,4', '0,5', '1,5', '2,3', '2,4', '3,4', '4,5']"
survey,alpha001,2688,bnlearn_abapc_nor_matched10_others_gsq_alpha001,80,54,26,13,25,41,1,9,0,9,2,[],"['0,2', '0,3', '0,4', '0,5', '1,5', '2,3', '2,4', '3,4', '4,5']"
survey,alpha001,3199,bnlearn_abapc_nor_matched10_others_gsq_alpha001,64,44,20,7,20,37,0,10,1,9,3,"['1,3']","['0,2', '0,3', '0,4', '0,5', '1,5', '2,3', '2,4', '3,4', '4,5']"
survey,alpha001,3578,bnlearn_abapc_nor_matched10_others_gsq_alpha001,39,21,18,3,18,18,0,12,3,9,3,"['1,2', '1,4', '2,5']","['0,2', '0,3', '0,4', '0,5', '1,5', '2,3', '2,4', '3,4', '4,5']"
survey,alpha001,7816,bnlearn_abapc_nor_matched10_others_gsq_alpha001,52,33,19,8,19,25,0,10,1,9,1,"['1,4']","['0,2', '0,3', '0,4', '0,5', '1,5', '2,3', '2,4', '3,4', '4,5']"
survey,alpha001,7977,bnlearn_abapc_nor_matched10_others_gsq_alpha001,41,24,17,5,17,19,0,11,2,9,1,"['1,3', '1,4']","['0,2', '0,3', '0,4', '0,5', '1,5', '2,3', '2,4', '3,4', '4,5']"
survey,alpha001,8266,bnlearn_abapc_nor_matched10_others_gsq_alpha001,44,26,18,5,18,21,0,11,2,9,2,"['1,3', '1,4']","['0,2', '0,3', '0,4', '0,5', '1,5', '2,3', '2,4', '3,4', '4,5']"
asia,alpha005,183,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,140,129,11,24,11,105,0,23,3,20,14,"['0,6', '2,3', '3,7']","['0,1', '0,2', '0,3', '0,4', '0,5', '0,7', '1,3', '1,4', '1,6', '1,7', '2,4', '2,5', '2,6', '2,7', '3,5', '4,6', '4,7', '5,6', '5,7', '6,7']"
asia,alpha005,316,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,164,149,15,24,12,125,3,23,3,20,16,"['0,6', '2,3', '3,7']","['0,1', '0,2', '0,3', '0,4', '0,5', '0,7', '1,3', '1,4', '1,6', '1,7', '2,4', '2,5', '2,6', '2,7', '3,5', '4,6', '4,7', '5,6', '5,7', '6,7']"
