dataset,alpha,seed,version,facts_total,true_fact_count,false_fact_count,true_indep_count,false_indep_count,true_dep_count,false_dep_count,indep_pair_count,wrong_block_pair_count,correct_block_pair_count,contradictory_pair_count,wrong_block_pairs,correct_block_pairs
sachs,alpha001,2494,bnlearn_abapc_nor_matched10_others_gsq_alpha001,966,955,11,74,10,881,1,38,0,38,14,[],"['0,10', '0,2', '0,3', '0,4', '0,5', '0,6', '0,8', '0,9', '1,10', '1,2', '1,4', '1,5', '1,6', '1,8', '1,9', '2,10', '2,3', '2,4', '2,5', '2,6', '2,9', '3,4', '3,5', '3,6', '3,9', '4,10', '4,5', '4,6', '4,9', '5,10', '5,7', '5,8', '6,10', '6,7', '6,8', '7,9', '8,9', '9,10']"
sachs,alpha001,2656,bnlearn_abapc_nor_matched10_others_gsq_alpha001,1015,993,22,76,13,917,9,38,0,38,15,[],"['0,10', '0,2', '0,3', '0,4', '0,5', '0,6', '0,8', '0,9', '1,10', '1,2', '1,4', '1,5', '1,6', '1,8', '1,9', '2,10', '2,3', '2,4', '2,5', '2,6', '2,9', '3,4', '3,5', '3,6', '3,9', '4,10', '4,5', '4,6', '4,9', '5,10', '5,7', '5,8', '6,10', '6,7', '6,8', '7,9', '8,9', '9,10']"
sachs,alpha001,2688,bnlearn_abapc_nor_matched10_others_gsq_alpha001,966,955,11,75,11,880,0,38,0,38,14,[],"['0,10', '0,2', '0,3', '0,4', '0,5', '0,6', '0,8', '0,9', '1,10', '1,2', '1,4', '1,5', '1,6', '1,8', '1,9', '2,10', '2,3', '2,4', '2,5', '2,6', '2,9', '3,4', '3,5', '3,6', '3,9', '4,10', '4,5', '4,6', '4,9', '5,10', '5,7', '5,8', '6,10', '6,7', '6,8', '7,9', '8,9', '9,10']"
sachs,alpha001,3199,bnlearn_abapc_nor_matched10_others_gsq_alpha001,929,917,12,74,11,843,1,38,0,38,14,[],"['0,10', '0,2', '0,3', '0,4', '0,5', '0,6', '0,8', '0,9', '1,10', '1,2', '1,4', '1,5', '1,6', '1,8', '1,9', '2,10', '2,3', '2,4', '2,5', '2,6', '2,9', '3,4', '3,5', '3,6', '3,9', '4,10', '4,5', '4,6', '4,9', '5,10', '5,7', '5,8', '6,10', '6,7', '6,8', '7,9', '8,9', '9,10']"
sachs,alpha001,3578,bnlearn_abapc_nor_matched10_others_gsq_alpha001,990,976,14,79,8,897,6,38,0,38,15,[],"['0,10', '0,2', '0,3', '0,4', '0,5', '0,6', '0,8', '0,9', '1,10', '1,2', '1,4', '1,5', '1,6', '1,8', '1,9', '2,10', '2,3', '2,4', '2,5', '2,6', '2,9', '3,4', '3,5', '3,6', '3,9', '4,10', '4,5', '4,6', '4,9', '5,10', '5,7', '5,8', '6,10', '6,7', '6,8', '7,9', '8,9', '9,10']"
sachs,alpha001,7816,bnlearn_abapc_nor_matched10_others_gsq_alpha001,990,968,22,76,13,892,9,38,0,38,15,[],"['0,10', '0,2', '0,3', '0,4', '0,5', '0,6', '0,8', '0,9', '1,10', '1,2', '1,4', '1,5', '1,6', '1,8', '1,9', '2,10', '2,3', '2,4', '2,5', '2,6', '2,9', '3,4', '3,5', '3,6', '3,9', '4,10', '4,5', '4,6', '4,9', '5,10', '5,7', '5,8', '6,10', '6,7', '6,8', '7,9', '8,9', '9,10']"
sachs,alpha001,7977,bnlearn_abapc_nor_matched10_others_gsq_alpha001,948,931,17,75,17,856,0,38,0,38,14,[],"['0,10', '0,2', '0,3', '0,4', '0,5', '0,6', '0,8', '0,9', '1,10', '1,2', '1,4', '1,5', '1,6', '1,8', '1,9', '2,10', '2,3', '2,4', '2,5', '2,6', '2,9', '3,4', '3,5', '3,6', '3,9', '4,10', '4,5', '4,6', '4,9', '5,10', '5,7', '5,8', '6,10', '6,7', '6,8', '7,9', '8,9', '9,10']"
sachs,alpha001,8266,bnlearn_abapc_nor_matched10_others_gsq_alpha001,1007,988,19,80,14,908,5,38,0,38,15,[],"['0,10', '0,2', '0,3', '0,4', '0,5', '0,6', '0,8', '0,9', '1,10', '1,2', '1,4', '1,5', '1,6', '1,8', '1,9', '2,10', '2,3', '2,4', '2,5', '2,6', '2,9', '3,4', '3,5', '3,6', '3,9', '4,10', '4,5', '4,6', '4,9', '5,10', '5,7', '5,8', '6,10', '6,7', '6,8', '7,9', '8,9', '9,10']"
child,alpha005,183,child_abapc_nor_matched10_gsq_graphmetrics,6574,5971,603,778,433,5193,170,165,0,165,136,[],"['0,1', '0,10', '0,11', '0,12', '0,13', '0,14', '0,15', '0,16', '0,17', '0,19', '0,2', '0,3', '0,4', '0,5', '0,7', '0,8', '0,9', '1,10', '1,11', '1,12', '1,13', '1,14', '1,15', '1,16', '1,17', '1,18', '1,19', '1,2', '1,3', '1,4', '1,5', '1,7', '1,8', '1,9', '10,11', '10,12', '10,13', '10,15', '10,16', '10,17', '10,18', '10,19', '11,12', '11,13', '11,15', '11,18', '11,19', '12,14', '12,15', '12,16', '12,17', '12,18', '12,19', '13,14', '13,15', '13,16', '13,17', '13,18', '13,19', '14,15', '14,16', '14,17', '14,18', '14,19', '15,16', '15,17', '15,18', '15,19', '16,17', '16,18', '16,19', '17,18', '17,19', '18,19', '2,10', '2,11', '2,12', '2,13', '2,14', '2,15', '2,17', '2,18', '2,19', '2,4', '2,5', '2,6', '2,7', '2,8', '2,9', '3,10', '3,11', '3,12', '3,13', '3,14', '3,15', '3,16', '3,17', '3,18', '3,19', '3,4', '3,5', '3,6', '3,7', '3,8', '3,9', '4,12', '4,13', '4,14', '4,15', '4,16', '4,17', '4,18', '4,19', '4,5', '4,7', '4,8', '4,9', '5,10', '5,11', '5,12', '5,13', '5,14', '5,17', '5,18', '5,6', '5,7', '5,8', '5,9', '6,10', '6,11', '6,13', '6,14', '6,17', '6,19', '6,8', '6,9', '7,11', '7,12', '7,13', '7,14', '7,15', '7,16', '7,17', '7,18', '7,19', '7,8', '7,9', '8,10', '8,11', '8,12', '8,13', '8,14', '8,15', '8,17', '8,19', '9,10', '9,11', '9,12', '9,13', '9,14', '9,15', '9,16', '9,17', '9,18', '9,19']"
child,alpha005,316,child_abapc_nor_matched10_gsq_graphmetrics,6317,5772,545,800,422,4972,123,165,0,165,131,[],"['0,1', '0,10', '0,11', '0,12', '0,13', '0,14', '0,15', '0,16', '0,17', '0,19', '0,2', '0,3', '0,4', '0,5', '0,7', '0,8', '0,9', '1,10', '1,11', '1,12', '1,13', '1,14', '1,15', '1,16', '1,17', '1,18', '1,19', '1,2', '1,3', '1,4', '1,5', '1,7', '1,8', '1,9', '10,11', '10,12', '10,13', '10,15', '10,16', '10,17', '10,18', '10,19', '11,12', '11,13', '11,15', '11,18', '11,19', '12,14', '12,15', '12,16', '12,17', '12,18', '12,19', '13,14', '13,15', '13,16', '13,17', '13,18', '13,19', '14,15', '14,16', '14,17', '14,18', '14,19', '15,16', '15,17', '15,18', '15,19', '16,17', '16,18', '16,19', '17,18', '17,19', '18,19', '2,10', '2,11', '2,12', '2,13', '2,14', '2,15', '2,17', '2,18', '2,19', '2,4', '2,5', '2,6', '2,7', '2,8', '2,9', '3,10', '3,11', '3,12', '3,13', '3,14', '3,15', '3,16', '3,17', '3,18', '3,19', '3,4', '3,5', '3,6', '3,7', '3,8', '3,9', '4,12', '4,13', '4,14', '4,15', '4,16', '4,17', '4,18', '4,19', '4,5', '4,7', '4,8', '4,9', '5,10', '5,11', '5,12', '5,13', '5,14', '5,17', '5,18', '5,6', '5,7', '5,8', '5,9', '6,10', '6,11', '6,13', '6,14', '6,17', '6,19', '6,8', '6,9', '7,11', '7,12', '7,13', '7,14', '7,15', '7,16', '7,17', '7,18', '7,19', '7,8', '7,9', '8,10', '8,11', '8,12', '8,13', '8,14', '8,15', '8,17', '8,19', '9,10', '9,11', '9,12', '9,13', '9,14', '9,15', '9,16', '9,17', '9,18', '9,19']"
child,alpha005,2494,child_abapc_nor_matched10_gsq_graphmetrics,6462,5790,672,743,477,5047,195,165,0,165,136,[],"['0,1', '0,10', '0,11', '0,12', '0,13', '0,14', '0,15', '0,16', '0,17', '0,19', '0,2', '0,3', '0,4', '0,5', '0,7', '0,8', '0,9', '1,10', '1,11', '1,12', '1,13', '1,14', '1,15', '1,16', '1,17', '1,18', '1,19', '1,2', '1,3', '1,4', '1,5', '1,7', '1,8', '1,9', '10,11', '10,12', '10,13', '10,15', '10,16', '10,17', '10,18', '10,19', '11,12', '11,13', '11,15', '11,18', '11,19', '12,14', '12,15', '12,16', '12,17', '12,18', '12,19', '13,14', '13,15', '13,16', '13,17', '13,18', '13,19', '14,15', '14,16', '14,17', '14,18', '14,19', '15,16', '15,17', '15,18', '15,19', '16,17', '16,18', '16,19', '17,18', '17,19', '18,19', '2,10', '2,11', '2,12', '2,13', '2,14', '2,15', '2,17', '2,18', '2,19', '2,4', '2,5', '2,6', '2,7', '2,8', '2,9', '3,10', '3,11', '3,12', '3,13', '3,14', '3,15', '3,16', '3,17', '3,18', '3,19', '3,4', '3,5', '3,6', '3,7', '3,8', '3,9', '4,12', '4,13', '4,14', '4,15', '4,16', '4,17', '4,18', '4,19', '4,5', '4,7', '4,8', '4,9', '5,10', '5,11', '5,12', '5,13', '5,14', '5,17', '5,18', '5,6', '5,7', '5,8', '5,9', '6,10', '6,11', '6,13', '6,14', '6,17', '6,19', '6,8', '6,9', '7,11', '7,12', '7,13', '7,14', '7,15', '7,16', '7,17', '7,18', '7,19', '7,8', '7,9', '8,10', '8,11', '8,12', '8,13', '8,14', '8,15', '8,17', '8,19', '9,10', '9,11', '9,12', '9,13', '9,14', '9,15', '9,16', '9,17', '9,18', '9,19']"
child,alpha005,2656,child_abapc_nor_matched10_gsq_graphmetrics,6606,5936,670,736,469,5200,201,165,0,165,133,[],"['0,1', '0,10', '0,11', '0,12', '0,13', '0,14', '0,15', '0,16', '0,17', '0,19', '0,2', '0,3', '0,4', '0,5', '0,7', '0,8', '0,9', '1,10', '1,11', '1,12', '1,13', '1,14', '1,15', '1,16', '1,17', '1,18', '1,19', '1,2', '1,3', '1,4', '1,5', '1,7', '1,8', '1,9', '10,11', '10,12', '10,13', '10,15', '10,16', '10,17', '10,18', '10,19', '11,12', '11,13', '11,15', '11,18', '11,19', '12,14', '12,15', '12,16', '12,17', '12,18', '12,19', '13,14', '13,15', '13,16', '13,17', '13,18', '13,19', '14,15', '14,16', '14,17', '14,18', '14,19', '15,16', '15,17', '15,18', '15,19', '16,17', '16,18', '16,19', '17,18', '17,19', '18,19', '2,10', '2,11', '2,12', '2,13', '2,14', '2,15', '2,17', '2,18', '2,19', '2,4', '2,5', '2,6', '2,7', '2,8', '2,9', '3,10', '3,11', '3,12', '3,13', '3,14', '3,15', '3,16', '3,17', '3,18', '3,19', '3,4', '3,5', '3,6', '3,7', '3,8', '3,9', '4,12', '4,13', '4,14', '4,15', '4,16', '4,17', '4,18', '4,19', '4,5', '4,7', '4,8', '4,9', '5,10', '5,11', '5,12', '5,13', '5,14', '5,17', '5,18', '5,6', '5,7', '5,8', '5,9', '6,10', '6,11', '6,13', '6,14', '6,17', '6,19', '6,8', '6,9', '7,11', '7,12', '7,13', '7,14', '7,15', '7,16', '7,17', '7,18', '7,19', '7,8', '7,9', '8,10', '8,11', '8,12', '8,13', '8,14', '8,15', '8,17', '8,19', '9,10', '9,11', '9,12', '9,13', '9,14', '9,15', '9,16', '9,17', '9,18', '9,19']"
child,alpha005,2688,child_abapc_nor_matched10_gsq_graphmetrics,6393,5864,529,768,385,5096,144,165,0,165,123,[],"['0,1', '0,10', '0,11', '0,12', '0,13', '0,14', '0,15', '0,16', '0,17', '0,19', '0,2', '0,3', '0,4', '0,5', '0,7', '0,8', '0,9', '1,10', '1,11', '1,12', '1,13', '1,14', '1,15', '1,16', '1,17', '1,18', '1,19', '1,2', '1,3', '1,4', '1,5', '1,7', '1,8', '1,9', '10,11', '10,12', '10,13', '10,15', '10,16', '10,17', '10,18', '10,19', '11,12', '11,13', '11,15', '11,18', '11,19', '12,14', '12,15', '12,16', '12,17', '12,18', '12,19', '13,14', '13,15', '13,16', '13,17', '13,18', '13,19', '14,15', '14,16', '14,17', '14,18', '14,19', '15,16', '15,17', '15,18', '15,19', '16,17', '16,18', '16,19', '17,18', '17,19', '18,19', '2,10', '2,11', '2,12', '2,13', '2,14', '2,15', '2,17', '2,18', '2,19', '2,4', '2,5', '2,6', '2,7', '2,8', '2,9', '3,10', '3,11', '3,12', '3,13', '3,14', '3,15', '3,16', '3,17', '3,18', '3,19', '3,4', '3,5', '3,6', '3,7', '3,8', '3,9', '4,12', '4,13', '4,14', '4,15', '4,16', '4,17', '4,18', '4,19', '4,5', '4,7', '4,8', '4,9', '5,10', '5,11', '5,12', '5,13', '5,14', '5,17', '5,18', '5,6', '5,7', '5,8', '5,9', '6,10', '6,11', '6,13', '6,14', '6,17', '6,19', '6,8', '6,9', '7,11', '7,12', '7,13', '7,14', '7,15', '7,16', '7,17', '7,18', '7,19', '7,8', '7,9', '8,10', '8,11', '8,12', '8,13', '8,14', '8,15', '8,17', '8,19', '9,10', '9,11', '9,12', '9,13', '9,14', '9,15', '9,16', '9,17', '9,18', '9,19']"
child,alpha005,3199,child_abapc_nor_matched10_gsq_graphmetrics,6557,5955,602,818,484,5137,118,165,0,165,132,[],"['0,1', '0,10', '0,11', '0,12', '0,13', '0,14', '0,15', '0,16', '0,17', '0,19', '0,2', '0,3', '0,4', '0,5', '0,7', '0,8', '0,9', '1,10', '1,11', '1,12', '1,13', '1,14', '1,15', '1,16', '1,17', '1,18', '1,19', '1,2', '1,3', '1,4', '1,5', '1,7', '1,8', '1,9', '10,11', '10,12', '10,13', '10,15', '10,16', '10,17', '10,18', '10,19', '11,12', '11,13', '11,15', '11,18', '11,19', '12,14', '12,15', '12,16', '12,17', '12,18', '12,19', '13,14', '13,15', '13,16', '13,17', '13,18', '13,19', '14,15', '14,16', '14,17', '14,18', '14,19', '15,16', '15,17', '15,18', '15,19', '16,17', '16,18', '16,19', '17,18', '17,19', '18,19', '2,10', '2,11', '2,12', '2,13', '2,14', '2,15', '2,17', '2,18', '2,19', '2,4', '2,5', '2,6', '2,7', '2,8', '2,9', '3,10', '3,11', '3,12', '3,13', '3,14', '3,15', '3,16', '3,17', '3,18', '3,19', '3,4', '3,5', '3,6', '3,7', '3,8', '3,9', '4,12', '4,13', '4,14', '4,15', '4,16', '4,17', '4,18', '4,19', '4,5', '4,7', '4,8', '4,9', '5,10', '5,11', '5,12', '5,13', '5,14', '5,17', '5,18', '5,6', '5,7', '5,8', '5,9', '6,10', '6,11', '6,13', '6,14', '6,17', '6,19', '6,8', '6,9', '7,11', '7,12', '7,13', '7,14', '7,15', '7,16', '7,17', '7,18', '7,19', '7,8', '7,9', '8,10', '8,11', '8,12', '8,13', '8,14', '8,15', '8,17', '8,19', '9,10', '9,11', '9,12', '9,13', '9,14', '9,15', '9,16', '9,17', '9,18', '9,19']"
child,alpha005,3578,child_abapc_nor_matched10_gsq_graphmetrics,6124,5556,568,802,449,4754,119,165,0,165,131,[],"['0,1', '0,10', '0,11', '0,12', '0,13', '0,14', '0,15', '0,16', '0,17', '0,19', '0,2', '0,3', '0,4', '0,5', '0,7', '0,8', '0,9', '1,10', '1,11', '1,12', '1,13', '1,14', '1,15', '1,16', '1,17', '1,18', '1,19', '1,2', '1,3', '1,4', '1,5', '1,7', '1,8', '1,9', '10,11', '10,12', '10,13', '10,15', '10,16', '10,17', '10,18', '10,19', '11,12', '11,13', '11,15', '11,18', '11,19', '12,14', '12,15', '12,16', '12,17', '12,18', '12,19', '13,14', '13,15', '13,16', '13,17', '13,18', '13,19', '14,15', '14,16', '14,17', '14,18', '14,19', '15,16', '15,17', '15,18', '15,19', '16,17', '16,18', '16,19', '17,18', '17,19', '18,19', '2,10', '2,11', '2,12', '2,13', '2,14', '2,15', '2,17', '2,18', '2,19', '2,4', '2,5', '2,6', '2,7', '2,8', '2,9', '3,10', '3,11', '3,12', '3,13', '3,14', '3,15', '3,16', '3,17', '3,18', '3,19', '3,4', '3,5', '3,6', '3,7', '3,8', '3,9', '4,12', '4,13', '4,14', '4,15', '4,16', '4,17', '4,18', '4,19', '4,5', '4,7', '4,8', '4,9', '5,10', '5,11', '5,12', '5,13', '5,14', '5,17', '5,18', '5,6', '5,7', '5,8', '5,9', '6,10', '6,11', '6,13', '6,14', '6,17', '6,19', '6,8', '6,9', '7,11', '7,12', '7,13', '7,14', '7,15', '7,16', '7,17', '7,18', '7,19', '7,8', '7,9', '8,10', '8,11', '8,12', '8,13', '8,14', '8,15', '8,17', '8,19', '9,10', '9,11', '9,12', '9,13', '9,14', '9,15', '9,16', '9,17', '9,18', '9,19']"
child,alpha005,7816,child_abapc_nor_matched10_gsq_graphmetrics,6359,5762,597,738,404,5024,193,165,0,165,129,[],"['0,1', '0,10', '0,11', '0,12', '0,13', '0,14', '0,15', '0,16', '0,17', '0,19', '0,2', '0,3', '0,4', '0,5', '0,7', '0,8', '0,9', '1,10', '1,11', '1,12', '1,13', '1,14', '1,15', '1,16', '1,17', '1,18', '1,19', '1,2', '1,3', '1,4', '1,5', '1,7', '1,8', '1,9', '10,11', '10,12', '10,13', '10,15', '10,16', '10,17', '10,18', '10,19', '11,12', '11,13', '11,15', '11,18', '11,19', '12,14', '12,15', '12,16', '12,17', '12,18', '12,19', '13,14', '13,15', '13,16', '13,17', '13,18', '13,19', '14,15', '14,16', '14,17', '14,18', '14,19', '15,16', '15,17', '15,18', '15,19', '16,17', '16,18', '16,19', '17,18', '17,19', '18,19', '2,10', '2,11', '2,12', '2,13', '2,14', '2,15', '2,17', '2,18', '2,19', '2,4', '2,5', '2,6', '2,7', '2,8', '2,9', '3,10', '3,11', '3,12', '3,13', '3,14', '3,15', '3,16', '3,17', '3,18', '3,19', '3,4', '3,5', '3,6', '3,7', '3,8', '3,9', '4,12', '4,13', '4,14', '4,15', '4,16', '4,17', '4,18', '4,19', '4,5', '4,7', '4,8', '4,9', '5,10', '5,11', '5,12', '5,13', '5,14', '5,17', '5,18', '5,6', '5,7', '5,8', '5,9', '6,10', '6,11', '6,13', '6,14', '6,17', '6,19', '6,8', '6,9', '7,11', '7,12', '7,13', '7,14', '7,15', '7,16', '7,17', '7,18', '7,19', '7,8', '7,9', '8,10', '8,11', '8,12', '8,13', '8,14', '8,15', '8,17', '8,19', '9,10', '9,11', '9,12', '9,13', '9,14', '9,15', '9,16', '9,17', '9,18', '9,19']"
child,alpha005,7977,child_abapc_nor_matched10_gsq_graphmetrics,6338,5771,567,803,406,4968,161,164,0,164,126,[],"['0,1', '0,10', '0,11', '0,12', '0,13', '0,14', '0,15', '0,16', '0,17', '0,19', '0,2', '0,3', '0,4', '0,5', '0,7', '0,8', '0,9', '1,10', '1,11', '1,12', '1,13', '1,14', '1,15', '1,16', '1,17', '1,18', '1,19', '1,2', '1,3', '1,5', '1,7', '1,8', '1,9', '10,11', '10,12', '10,13', '10,15', '10,16', '10,17', '10,18', '10,19', '11,12', '11,13', '11,15', '11,18', '11,19', '12,14', '12,15', '12,16', '12,17', '12,18', '12,19', '13,14', '13,15', '13,16', '13,17', '13,18', '13,19', '14,15', '14,16', '14,17', '14,18', '14,19', '15,16', '15,17', '15,18', '15,19', '16,17', '16,18', '16,19', '17,18', '17,19', '18,19', '2,10', '2,11', '2,12', '2,13', '2,14', '2,15', '2,17', '2,18', '2,19', '2,4', '2,5', '2,6', '2,7', '2,8', '2,9', '3,10', '3,11', '3,12', '3,13', '3,14', '3,15', '3,16', '3,17', '3,18', '3,19', '3,4', '3,5', '3,6', '3,7', '3,8', '3,9', '4,12', '4,13', '4,14', '4,15', '4,16', '4,17', '4,18', '4,19', '4,5', '4,7', '4,8', '4,9', '5,10', '5,11', '5,12', '5,13', '5,14', '5,17', '5,18', '5,6', '5,7', '5,8', '5,9', '6,10', '6,11', '6,13', '6,14', '6,17', '6,19', '6,8', '6,9', '7,11', '7,12', '7,13', '7,14', '7,15', '7,16', '7,17', '7,18', '7,19', '7,8', '7,9', '8,10', '8,11', '8,12', '8,13', '8,14', '8,15', '8,17', '8,19', '9,10', '9,11', '9,12', '9,13', '9,14', '9,15', '9,16', '9,17', '9,18', '9,19']"
child,alpha005,8266,child_abapc_nor_matched10_gsq_graphmetrics,6741,6165,576,789,415,5376,161,165,0,165,137,[],"['0,1', '0,10', '0,11', '0,12', '0,13', '0,14', '0,15', '0,16', '0,17', '0,19', '0,2', '0,3', '0,4', '0,5', '0,7', '0,8', '0,9', '1,10', '1,11', '1,12', '1,13', '1,14', '1,15', '1,16', '1,17', '1,18', '1,19', '1,2', '1,3', '1,4', '1,5', '1,7', '1,8', '1,9', '10,11', '10,12', '10,13', '10,15', '10,16', '10,17', '10,18', '10,19', '11,12', '11,13', '11,15', '11,18', '11,19', '12,14', '12,15', '12,16', '12,17', '12,18', '12,19', '13,14', '13,15', '13,16', '13,17', '13,18', '13,19', '14,15', '14,16', '14,17', '14,18', '14,19', '15,16', '15,17', '15,18', '15,19', '16,17', '16,18', '16,19', '17,18', '17,19', '18,19', '2,10', '2,11', '2,12', '2,13', '2,14', '2,15', '2,17', '2,18', '2,19', '2,4', '2,5', '2,6', '2,7', '2,8', '2,9', '3,10', '3,11', '3,12', '3,13', '3,14', '3,15', '3,16', '3,17', '3,18', '3,19', '3,4', '3,5', '3,6', '3,7', '3,8', '3,9', '4,12', '4,13', '4,14', '4,15', '4,16', '4,17', '4,18', '4,19', '4,5', '4,7', '4,8', '4,9', '5,10', '5,11', '5,12', '5,13', '5,14', '5,17', '5,18', '5,6', '5,7', '5,8', '5,9', '6,10', '6,11', '6,13', '6,14', '6,17', '6,19', '6,8', '6,9', '7,11', '7,12', '7,13', '7,14', '7,15', '7,16', '7,17', '7,18', '7,19', '7,8', '7,9', '8,10', '8,11', '8,12', '8,13', '8,14', '8,15', '8,17', '8,19', '9,10', '9,11', '9,12', '9,13', '9,14', '9,15', '9,16', '9,17', '9,18', '9,19']"
child,alpha001,183,child_abapc_nor_matched10_gsq_alpha001,5612,5151,461,746,388,4405,73,166,1,165,123,"['11,16']","['0,1', '0,10', '0,11', '0,12', '0,13', '0,14', '0,15', '0,16', '0,17', '0,19', '0,2', '0,3', '0,4', '0,5', '0,7', '0,8', '0,9', '1,10', '1,11', '1,12', '1,13', '1,14', '1,15', '1,16', '1,17', '1,18', '1,19', '1,2', '1,3', '1,4', '1,5', '1,7', '1,8', '1,9', '10,11', '10,12', '10,13', '10,15', '10,16', '10,17', '10,18', '10,19', '11,12', '11,13', '11,15', '11,18', '11,19', '12,14', '12,15', '12,16', '12,17', '12,18', '12,19', '13,14', '13,15', '13,16', '13,17', '13,18', '13,19', '14,15', '14,16', '14,17', '14,18', '14,19', '15,16', '15,17', '15,18', '15,19', '16,17', '16,18', '16,19', '17,18', '17,19', '18,19', '2,10', '2,11', '2,12', '2,13', '2,14', '2,15', '2,17', '2,18', '2,19', '2,4', '2,5', '2,6', '2,7', '2,8', '2,9', '3,10', '3,11', '3,12', '3,13', '3,14', '3,15', '3,16', '3,17', '3,18', '3,19', '3,4', '3,5', '3,6', '3,7', '3,8', '3,9', '4,12', '4,13', '4,14', '4,15', '4,16', '4,17', '4,18', '4,19', '4,5', '4,7', '4,8', '4,9', '5,10', '5,11', '5,12', '5,13', '5,14', '5,17', '5,18', '5,6', '5,7', '5,8', '5,9', '6,10', '6,11', '6,13', '6,14', '6,17', '6,19', '6,8', '6,9', '7,11', '7,12', '7,13', '7,14', '7,15', '7,16', '7,17', '7,18', '7,19', '7,8', '7,9', '8,10', '8,11', '8,12', '8,13', '8,14', '8,15', '8,17', '8,19', '9,10', '9,11', '9,12', '9,13', '9,14', '9,15', '9,16', '9,17', '9,18', '9,19']"
child,alpha001,316,child_abapc_nor_matched10_gsq_alpha001,5907,5392,515,844,459,4548,56,165,0,165,113,[],"['0,1', '0,10', '0,11', '0,12', '0,13', '0,14', '0,15', '0,16', '0,17', '0,19', '0,2', '0,3', '0,4', '0,5', '0,7', '0,8', '0,9', '1,10', '1,11', '1,12', '1,13', '1,14', '1,15', '1,16', '1,17', '1,18', '1,19', '1,2', '1,3', '1,4', '1,5', '1,7', '1,8', '1,9', '10,11', '10,12', '10,13', '10,15', '10,16', '10,17', '10,18', '10,19', '11,12', '11,13', '11,15', '11,18', '11,19', '12,14', '12,15', '12,16', '12,17', '12,18', '12,19', '13,14', '13,15', '13,16', '13,17', '13,18', '13,19', '14,15', '14,16', '14,17', '14,18', '14,19', '15,16', '15,17', '15,18', '15,19', '16,17', '16,18', '16,19', '17,18', '17,19', '18,19', '2,10', '2,11', '2,12', '2,13', '2,14', '2,15', '2,17', '2,18', '2,19', '2,4', '2,5', '2,6', '2,7', '2,8', '2,9', '3,10', '3,11', '3,12', '3,13', '3,14', '3,15', '3,16', '3,17', '3,18', '3,19', '3,4', '3,5', '3,6', '3,7', '3,8', '3,9', '4,12', '4,13', '4,14', '4,15', '4,16', '4,17', '4,18', '4,19', '4,5', '4,7', '4,8', '4,9', '5,10', '5,11', '5,12', '5,13', '5,14', '5,17', '5,18', '5,6', '5,7', '5,8', '5,9', '6,10', '6,11', '6,13', '6,14', '6,17', '6,19', '6,8', '6,9', '7,11', '7,12', '7,13', '7,14', '7,15', '7,16', '7,17', '7,18', '7,19', '7,8', '7,9', '8,10', '8,11', '8,12', '8,13', '8,14', '8,15', '8,17', '8,19', '9,10', '9,11', '9,12', '9,13', '9,14', '9,15', '9,16', '9,17', '9,18', '9,19']"
child,alpha001,2494,child_abapc_nor_matched10_gsq_alpha001,6056,5493,563,810,463,4683,100,165,0,165,120,[],"['0,1', '0,10', '0,11', '0,12', '0,13', '0,14', '0,15', '0,16', '0,17', '0,19', '0,2', '0,3', '0,4', '0,5', '0,7', '0,8', '0,9', '1,10', '1,11', '1,12', '1,13', '1,14', '1,15', '1,16', '1,17', '1,18', '1,19', '1,2', '1,3', '1,4', '1,5', '1,7', '1,8', '1,9', '10,11', '10,12', '10,13', '10,15', '10,16', '10,17', '10,18', '10,19', '11,12', '11,13', '11,15', '11,18', '11,19', '12,14', '12,15', '12,16', '12,17', '12,18', '12,19', '13,14', '13,15', '13,16', '13,17', '13,18', '13,19', '14,15', '14,16', '14,17', '14,18', '14,19', '15,16', '15,17', '15,18', '15,19', '16,17', '16,18', '16,19', '17,18', '17,19', '18,19', '2,10', '2,11', '2,12', '2,13', '2,14', '2,15', '2,17', '2,18', '2,19', '2,4', '2,5', '2,6', '2,7', '2,8', '2,9', '3,10', '3,11', '3,12', '3,13', '3,14', '3,15', '3,16', '3,17', '3,18', '3,19', '3,4', '3,5', '3,6', '3,7', '3,8', '3,9', '4,12', '4,13', '4,14', '4,15', '4,16', '4,17', '4,18', '4,19', '4,5', '4,7', '4,8', '4,9', '5,10', '5,11', '5,12', '5,13', '5,14', '5,17', '5,18', '5,6', '5,7', '5,8', '5,9', '6,10', '6,11', '6,13', '6,14', '6,17', '6,19', '6,8', '6,9', '7,11', '7,12', '7,13', '7,14', '7,15', '7,16', '7,17', '7,18', '7,19', '7,8', '7,9', '8,10', '8,11', '8,12', '8,13', '8,14', '8,15', '8,17', '8,19', '9,10', '9,11', '9,12', '9,13', '9,14', '9,15', '9,16', '9,17', '9,18', '9,19']"
