dataset,seed,alpha_old,alpha_new,old_only_count,new_only_count,old_only_true_count,old_only_false_count,new_only_true_count,new_only_false_count,old_only_true_indep_count,old_only_false_indep_count,old_only_true_dep_count,old_only_false_dep_count,new_only_true_indep_count,new_only_false_indep_count,new_only_true_dep_count,new_only_false_dep_count,facts_total_old,facts_total_new,delta_facts_total,true_fact_count_old,true_fact_count_new,delta_true_fact_count,false_fact_count_old,false_fact_count_new,delta_false_fact_count,true_indep_count_old,true_indep_count_new,delta_true_indep_count,false_indep_count_old,false_indep_count_new,delta_false_indep_count,true_dep_count_old,true_dep_count_new,delta_true_dep_count,false_dep_count_old,false_dep_count_new,delta_false_dep_count,indep_pair_count_old,indep_pair_count_new,delta_indep_pair_count,wrong_block_pair_count_old,wrong_block_pair_count_new,delta_wrong_block_pair_count,correct_block_pair_count_old,correct_block_pair_count_new,delta_correct_block_pair_count,contradictory_pair_count_old,contradictory_pair_count_new,delta_contradictory_pair_count
earthquake,8266,alpha005,alpha001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54,0.0,54,54,0.0,0,0,0.0,6,6,0.0,0,0,0.0,48,48,0.0,0,0,0.0,6,6,0.0,0,0,0.0,6,6,0.0,6,6,0.0
survey,183,alpha005,alpha001,21,3,12,9,0,3,6,9,6,0,0,3,0,0,46,28,-18.0,28,16,-12.0,18,12,-6.0,8,2,-6.0,18,12,-6.0,20,14,-6.0,0,0,0.0,10,12,2.0,1,3,2.0,9,9,0.0,0,2,2.0
survey,316,alpha005,alpha001,11,2,10,1,0,2,0,1,10,0,0,2,0,0,61,52,-9.0,43,33,-10.0,18,19,1.0,8,8,0.0,18,19,1.0,35,25,-10.0,0,0,0.0,10,10,0.0,1,1,0.0,9,9,0.0,1,1,0.0
survey,2494,alpha005,alpha001,12,3,10,2,0,3,0,2,10,0,0,3,0,0,47,38,-9.0,30,20,-10.0,17,18,1.0,5,5,0.0,17,18,1.0,25,15,-10.0,0,0,0.0,11,11,0.0,2,2,0.0,9,9,0.0,3,1,-2.0
survey,2656,alpha005,alpha001,19,6,14,5,2,4,2,3,12,2,2,4,0,0,68,55,-13.0,45,33,-12.0,23,22,-1.0,7,7,0.0,21,22,1.0,38,26,-12.0,2,0,-2.0,9,10,1.0,1,1,0.0,8,9,1.0,2,2,0.0
survey,2688,alpha005,alpha001,10,4,7,3,1,3,1,2,6,1,1,3,0,0,86,80,-6.0,60,54,-6.0,26,26,0.0,13,13,0.0,24,25,1.0,47,41,-6.0,2,1,-1.0,9,9,0.0,0,0,0.0,9,9,0.0,4,2,-2.0
survey,3199,alpha005,alpha001,6,2,4,2,1,1,0,1,4,1,1,1,0,0,68,64,-4.0,47,44,-3.0,21,20,-1.0,6,7,1.0,20,20,0.0,41,37,-4.0,1,0,-1.0,10,10,0.0,1,1,0.0,9,9,0.0,3,3,0.0
survey,3578,alpha005,alpha001,40,6,21,19,0,6,8,17,13,2,0,6,0,0,73,39,-34.0,42,21,-21.0,31,18,-13.0,11,3,-8.0,29,18,-11.0,31,18,-13.0,2,0,-2.0,9,12,3.0,1,3,2.0,8,9,1.0,1,3,2.0
survey,7816,alpha005,alpha001,14,4,12,2,1,3,0,1,12,1,1,3,0,0,62,52,-10.0,44,33,-11.0,18,19,1.0,7,8,1.0,17,19,2.0,37,25,-12.0,1,0,-1.0,10,10,0.0,1,1,0.0,9,9,0.0,2,1,-1.0
survey,7977,alpha005,alpha001,6,1,5,1,0,1,3,1,2,0,0,1,0,0,46,41,-5.0,29,24,-5.0,17,17,0.0,8,5,-3.0,17,17,0.0,21,19,-2.0,0,0,0.0,10,11,1.0,1,2,1.0,9,9,0.0,1,1,0.0
