dataset,alpha,method,seed,version,removed_fact_count,kept_fact_count,removed_true_count,removed_false_count,kept_true_count,kept_false_count,removed_true_indep_count,removed_false_indep_count,removed_true_dep_count,removed_false_dep_count,kept_true_indep_count,kept_false_indep_count,kept_true_dep_count,kept_false_dep_count,released_block_pair_count,released_wrong_block_pair_count,released_correct_block_pair_count,remaining_wrong_block_pair_count,effective_wrong_block_pair_count,dag_F1,dag_SHD,dag_SID,cpdag_F1,cpdag_SHD,cpdag_SID_low,cpdag_SID_high,elapsed_sec,remove_n,fully_released_pair_count_reported,block_edge_mode
earthquake,alpha005,ABAPC (bb-nor),7816,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_graphmetrics,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.07915902137756348,0,0,frozen_initial
earthquake,alpha005,ABAPC (bb-nor),7977,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_graphmetrics,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.07590723037719727,0,0,frozen_initial
earthquake,alpha005,ABAPC (bb-nor),8266,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_graphmetrics,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.07225704193115234,0,0,frozen_initial
earthquake,alpha001,ABAPC (nor),183,bnlearn_abapc_nor_matched10_others_gsq_alpha001,3,56,1,2,55,1,1,2,0,0,7,0,48,1,0,0,0,0,0,0.8889,1.0,0.0,0.8889,1.0,0.0,14.0,0.06974363327026367,3,0,
earthquake,alpha001,ABAPC (nor),316,bnlearn_abapc_nor_matched10_others_gsq_alpha001,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.055943965911865234,0,0,
earthquake,alpha001,ABAPC (nor),2494,bnlearn_abapc_nor_matched10_others_gsq_alpha001,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.05667686462402344,0,0,
earthquake,alpha001,ABAPC (nor),2656,bnlearn_abapc_nor_matched10_others_gsq_alpha001,3,51,2,1,51,0,2,1,0,0,4,0,47,0,2,0,2,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.06324172019958496,3,0,
earthquake,alpha001,ABAPC (nor),2688,bnlearn_abapc_nor_matched10_others_gsq_alpha001,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.055310726165771484,0,0,
earthquake,alpha001,ABAPC (nor),3199,bnlearn_abapc_nor_matched10_others_gsq_alpha001,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.055587053298950195,0,0,
earthquake,alpha001,ABAPC (nor),3578,bnlearn_abapc_nor_matched10_others_gsq_alpha001,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.05831599235534668,0,0,
earthquake,alpha001,ABAPC (nor),7816,bnlearn_abapc_nor_matched10_others_gsq_alpha001,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.06888151168823242,0,0,
earthquake,alpha001,ABAPC (nor),7977,bnlearn_abapc_nor_matched10_others_gsq_alpha001,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.05635237693786621,0,0,
earthquake,alpha001,ABAPC (nor),8266,bnlearn_abapc_nor_matched10_others_gsq_alpha001,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.05792570114135742,0,0,
earthquake,alpha001,ABAPC (bb),183,bnlearn_abapc_bb_matched10_others_gsq_searchv3_alpha001,3,56,1,2,55,1,1,2,0,0,7,0,48,1,0,0,0,0,0,0.8889,1.0,0.0,0.8889,1.0,0.0,14.0,0.28852176666259766,3,0,dynamic
earthquake,alpha001,ABAPC (bb),316,bnlearn_abapc_bb_matched10_others_gsq_searchv3_alpha001,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.07198810577392578,0,0,dynamic
earthquake,alpha001,ABAPC (bb),2494,bnlearn_abapc_bb_matched10_others_gsq_searchv3_alpha001,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.08622908592224121,0,0,dynamic
earthquake,alpha001,ABAPC (bb),2656,bnlearn_abapc_bb_matched10_others_gsq_searchv3_alpha001,3,51,2,1,51,0,2,1,0,0,4,0,47,0,2,0,2,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.30006861686706543,3,0,dynamic
earthquake,alpha001,ABAPC (bb),2688,bnlearn_abapc_bb_matched10_others_gsq_searchv3_alpha001,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.07372784614562988,0,0,dynamic
earthquake,alpha001,ABAPC (bb),3199,bnlearn_abapc_bb_matched10_others_gsq_searchv3_alpha001,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.07065010070800781,0,0,dynamic
earthquake,alpha001,ABAPC (bb),3578,bnlearn_abapc_bb_matched10_others_gsq_searchv3_alpha001,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.06808209419250488,0,0,dynamic
earthquake,alpha001,ABAPC (bb),7816,bnlearn_abapc_bb_matched10_others_gsq_searchv3_alpha001,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.08150863647460938,0,0,dynamic
earthquake,alpha001,ABAPC (bb),7977,bnlearn_abapc_bb_matched10_others_gsq_searchv3_alpha001,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.07350850105285645,0,0,dynamic
earthquake,alpha001,ABAPC (bb),8266,bnlearn_abapc_bb_matched10_others_gsq_searchv3_alpha001,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.07205605506896973,0,0,dynamic
earthquake,alpha001,ABAPC (bb-nor),183,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_alpha001,3,56,1,2,55,1,1,2,0,0,7,0,48,1,0,0,0,0,0,0.8889,1.0,0.0,0.8889,1.0,0.0,14.0,0.2678501605987549,3,0,frozen_initial
earthquake,alpha001,ABAPC (bb-nor),316,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_alpha001,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.05958271026611328,0,0,frozen_initial
earthquake,alpha001,ABAPC (bb-nor),2494,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_alpha001,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.06052660942077637,0,0,frozen_initial
earthquake,alpha001,ABAPC (bb-nor),2656,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_alpha001,3,51,2,1,51,0,2,1,0,0,4,0,47,0,2,0,2,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.27627992630004883,3,0,frozen_initial
earthquake,alpha001,ABAPC (bb-nor),2688,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_alpha001,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.06619763374328613,0,0,frozen_initial
earthquake,alpha001,ABAPC (bb-nor),3199,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_alpha001,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.060292959213256836,0,0,frozen_initial
earthquake,alpha001,ABAPC (bb-nor),3578,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_alpha001,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0593259334564209,0,0,frozen_initial
earthquake,alpha001,ABAPC (bb-nor),7816,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_alpha001,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.06763601303100586,0,0,frozen_initial
earthquake,alpha001,ABAPC (bb-nor),7977,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_alpha001,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.06406021118164062,0,0,frozen_initial
earthquake,alpha001,ABAPC (bb-nor),8266,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_alpha001,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.060999155044555664,0,0,frozen_initial
survey,alpha005,ABAPC (nor),183,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,32,14,15,17,13,1,8,17,7,0,0,1,13,0,9,1,8,0,0,0.2,5.0,21.0,0.6,5.0,8.0,21.0,0.26488494873046875,32,10,
survey,alpha005,ABAPC (nor),316,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,43,18,25,18,18,0,8,18,17,0,0,0,18,0,10,1,9,0,0,0.4,4.0,18.0,0.4,5.0,18.0,19.0,0.2894284725189209,43,12,
survey,alpha005,ABAPC (nor),2494,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,29,18,13,16,17,1,4,16,9,0,1,1,16,0,9,2,7,0,0,0.2,5.0,18.0,0.6,5.0,17.0,18.0,0.2793724536895752,29,8,
survey,alpha005,ABAPC (nor),2656,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,41,27,18,23,27,0,7,21,11,2,0,0,27,0,9,1,8,0,0,0.6667,3.0,12.0,0.6667,3.0,12.0,12.0,0.3228490352630615,41,8,
survey,alpha005,ABAPC (nor),2688,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,42,44,17,25,43,1,12,23,5,2,1,1,42,0,7,0,7,0,0,0.8333,1.0,7.0,0.8333,1.0,7.0,13.0,0.15455961227416992,42,6,
survey,alpha005,ABAPC (nor),3199,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,38,30,17,21,30,0,6,20,11,1,0,0,30,0,10,1,9,0,0,0.5455,3.0,16.0,0.7273,4.0,16.0,17.0,0.304776668548584,38,9,
survey,alpha005,ABAPC (nor),3578,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,47,26,17,30,25,1,9,29,8,1,2,0,23,1,7,1,6,0,0,0.6667,3.0,9.0,0.8333,4.0,5.0,22.0,0.15787100791931152,47,6,
survey,alpha005,ABAPC (nor),7816,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,33,29,16,17,28,1,7,16,9,1,0,1,28,0,9,1,8,0,0,0.3636,4.0,15.0,0.5455,5.0,14.0,15.0,0.31073594093322754,33,9,
survey,alpha005,ABAPC (nor),7977,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,26,20,9,17,20,0,7,17,2,0,1,0,19,0,9,1,8,0,0,0.7273,2.0,7.0,0.9091,2.0,1.0,14.0,0.2574629783630371,26,9,
survey,alpha005,ABAPC (nor),8266,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,38,29,20,18,28,1,8,18,12,0,0,1,28,0,9,1,8,0,0,0.7273,2.0,9.0,0.9091,3.0,9.0,17.0,0.135636568069458,38,7,
survey,alpha005,ABAPC (bb),183,bnlearn_abapc_bb_matched10_others_gsq_searchv3_graphmetrics,31,15,14,17,14,1,7,17,7,0,1,1,13,0,9,1,8,0,0,0.0,10.0,21.0,0.4286,9.0,13.0,28.0,0.6566586494445801,31,10,dynamic
survey,alpha005,ABAPC (bb),316,bnlearn_abapc_bb_matched10_others_gsq_searchv3_graphmetrics,30,31,14,16,29,2,8,16,6,0,0,2,29,0,9,1,8,0,0,0.1333,10.0,21.0,0.4,10.0,10.0,23.0,0.5305759906768799,30,8,dynamic
survey,alpha005,ABAPC (bb),2494,bnlearn_abapc_bb_matched10_others_gsq_searchv3_graphmetrics,28,19,12,16,18,1,4,16,8,0,1,1,17,0,9,2,7,0,0,0.4615,6.0,18.0,0.4615,6.0,12.0,18.0,0.37502121925354004,28,7,dynamic
survey,alpha005,ABAPC (bb),2656,bnlearn_abapc_bb_matched10_others_gsq_searchv3_graphmetrics,34,34,14,20,31,3,7,18,7,2,0,3,31,0,7,1,6,0,0,0.1429,10.0,17.0,0.2857,10.0,12.0,19.0,0.3415083885192871,34,6,dynamic
survey,alpha005,ABAPC (bb),2688,bnlearn_abapc_bb_matched10_others_gsq_searchv3_graphmetrics,42,44,17,25,43,1,12,23,5,2,1,1,42,0,7,0,7,0,0,0.6667,4.0,7.0,0.6667,4.0,7.0,13.0,0.5428898334503174,42,6,dynamic
survey,alpha005,ABAPC (bb),3199,bnlearn_abapc_bb_matched10_others_gsq_searchv3_graphmetrics,25,43,6,19,41,2,5,18,1,1,1,2,40,0,8,1,7,0,0,0.7143,3.0,6.0,0.7143,5.0,6.0,19.0,0.4592103958129883,25,6,dynamic
survey,alpha005,ABAPC (bb),3578,bnlearn_abapc_bb_matched10_others_gsq_searchv3_graphmetrics,44,29,16,28,26,3,9,27,7,1,2,2,24,1,5,1,4,0,0,0.5,5.0,9.0,0.5,5.0,9.0,9.0,0.3863048553466797,44,4,dynamic
survey,alpha005,ABAPC (bb),7816,bnlearn_abapc_bb_matched10_others_gsq_searchv3_graphmetrics,28,34,12,16,32,2,7,15,5,1,0,2,32,0,8,1,7,0,0,0.2667,9.0,26.0,0.2667,10.0,20.0,29.0,0.3999783992767334,28,7,dynamic
survey,alpha005,ABAPC (bb),7977,bnlearn_abapc_bb_matched10_others_gsq_searchv3_graphmetrics,25,21,9,16,20,1,7,16,2,0,1,1,19,0,8,1,7,0,0,0.3333,7.0,19.0,0.5,8.0,13.0,27.0,0.7804811000823975,25,8,dynamic
survey,alpha005,ABAPC (bb),8266,bnlearn_abapc_bb_matched10_others_gsq_searchv3_graphmetrics,35,32,18,17,30,2,8,17,10,0,0,2,30,0,9,1,8,0,0,0.4615,5.0,18.0,0.6154,7.0,6.0,26.0,0.458423376083374,35,7,dynamic
survey,alpha005,ABAPC (bb-nor),183,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_graphmetrics,32,14,15,17,13,1,8,17,7,0,0,1,13,0,9,1,8,0,1,0.4,4.0,15.0,0.4,4.0,15.0,15.0,0.24558806419372559,32,10,frozen_initial
survey,alpha005,ABAPC (bb-nor),316,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_graphmetrics,43,18,25,18,18,0,8,18,17,0,0,0,18,0,10,1,9,0,1,0.1818,5.0,24.0,0.5455,6.0,18.0,25.0,0.2832176685333252,43,12,frozen_initial
survey,alpha005,ABAPC (bb-nor),2494,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_graphmetrics,29,18,13,16,17,1,4,16,9,0,1,1,16,0,9,2,7,0,2,0.4,4.0,17.0,0.6,5.0,17.0,18.0,0.2721984386444092,29,8,frozen_initial
survey,alpha005,ABAPC (bb-nor),2656,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_graphmetrics,41,27,18,23,27,0,7,21,11,2,0,0,27,0,9,1,8,0,1,0.6667,3.0,10.0,0.6667,4.0,5.0,23.0,0.2946488857269287,41,8,frozen_initial
survey,alpha005,ABAPC (bb-nor),2688,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_graphmetrics,42,44,17,25,43,1,12,23,5,2,1,1,42,0,7,0,7,0,0,0.8333,1.0,7.0,0.8333,1.0,7.0,13.0,0.29878807067871094,42,6,frozen_initial
survey,alpha005,ABAPC (bb-nor),3199,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_graphmetrics,38,30,17,21,30,0,6,20,11,1,0,0,30,0,10,1,9,0,1,0.3636,4.0,17.0,0.7273,4.0,16.0,17.0,0.2948801517486572,38,9,frozen_initial
survey,alpha005,ABAPC (bb-nor),3578,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_graphmetrics,47,26,17,30,25,1,9,29,8,1,2,0,23,1,7,1,6,0,1,0.6667,3.0,9.0,0.8333,4.0,5.0,22.0,0.32642698287963867,47,6,frozen_initial
survey,alpha005,ABAPC (bb-nor),7816,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_graphmetrics,33,29,16,17,28,1,7,16,9,1,0,1,28,0,9,1,8,0,1,0.3636,4.0,15.0,0.5455,5.0,14.0,15.0,0.2952296733856201,33,9,frozen_initial
survey,alpha005,ABAPC (bb-nor),7977,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_graphmetrics,26,20,9,17,20,0,7,17,2,0,1,0,19,0,9,1,8,0,1,0.1818,5.0,19.0,0.5455,5.0,18.0,19.0,0.25151968002319336,26,9,frozen_initial
survey,alpha005,ABAPC (bb-nor),8266,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_graphmetrics,38,29,20,18,28,1,8,18,12,0,0,1,28,0,9,1,8,0,1,0.7273,2.0,9.0,0.9091,3.0,9.0,17.0,0.291759729385376,38,7,frozen_initial
survey,alpha001,ABAPC (nor),183,bnlearn_abapc_nor_matched10_others_gsq_alpha001,16,12,5,11,11,1,1,11,4,0,1,1,10,0,10,3,7,0,0,0.2222,5.0,17.0,0.6667,5.0,10.0,24.0,0.31176066398620605,16,10,
survey,alpha001,ABAPC (nor),316,bnlearn_abapc_nor_matched10_others_gsq_alpha001,38,14,19,19,14,0,8,19,11,0,0,0,14,0,10,1,9,0,0,0.4,4.0,18.0,0.4,5.0,18.0,19.0,0.27296018600463867,38,12,
survey,alpha001,ABAPC (nor),2494,bnlearn_abapc_nor_matched10_others_gsq_alpha001,21,17,6,15,14,3,3,15,3,0,2,3,12,0,7,2,5,0,0,0.6,3.0,13.0,0.6,3.0,13.0,13.0,0.08975958824157715,21,7,
survey,alpha001,ABAPC (nor),2656,bnlearn_abapc_nor_matched10_others_gsq_alpha001,35,20,14,21,19,1,7,21,7,0,0,1,19,0,9,1,8,0,0,0.7273,2.0,12.0,0.7273,2.0,12.0,12.0,0.12472796440124512,35,8,
survey,alpha001,ABAPC (nor),2688,bnlearn_abapc_nor_matched10_others_gsq_alpha001,47,33,22,25,32,1,12,24,10,1,1,1,31,0,7,0,7,0,0,0.6667,2.0,13.0,0.8333,2.0,7.0,19.0,0.16043639183044434,47,7,
survey,alpha001,ABAPC (nor),3199,bnlearn_abapc_nor_matched10_others_gsq_alpha001,35,29,16,19,28,1,6,19,10,0,1,1,27,0,8,1,7,0,0,0.5455,3.0,16.0,0.7273,4.0,16.0,17.0,0.27241945266723633,35,7,
survey,alpha001,ABAPC (nor),3578,bnlearn_abapc_nor_matched10_others_gsq_alpha001,23,16,8,15,13,3,2,15,6,0,1,3,12,0,9,3,6,0,0,0.2222,5.0,19.0,0.4444,6.0,13.0,19.0,0.23606348037719727,23,9,
survey,alpha001,ABAPC (nor),7816,bnlearn_abapc_nor_matched10_others_gsq_alpha001,32,20,14,18,19,1,8,18,6,0,0,1,19,0,9,1,8,0,0,0.7273,2.0,7.0,0.7273,5.0,7.0,21.0,0.6891443729400635,32,9,
survey,alpha001,ABAPC (nor),7977,bnlearn_abapc_nor_matched10_others_gsq_alpha001,25,16,8,17,16,0,5,17,3,0,0,0,16,0,11,2,9,0,0,0.2,5.0,18.0,0.6,5.0,17.0,18.0,0.24076151847839355,25,10,
survey,alpha001,ABAPC (nor),8266,bnlearn_abapc_nor_matched10_others_gsq_alpha001,32,12,14,18,12,0,5,18,9,0,0,0,12,0,11,2,9,0,0,0.2,5.0,18.0,0.6,5.0,17.0,18.0,0.26511096954345703,32,12,
survey,alpha001,ABAPC (bb),183,bnlearn_abapc_bb_matched10_others_gsq_searchv3_alpha001,10,18,2,8,14,4,1,8,1,0,1,4,13,0,7,3,4,0,0,0.3636,5.0,14.0,0.5455,6.0,7.0,21.0,0.453261137008667,10,5,dynamic
survey,alpha001,ABAPC (bb),316,bnlearn_abapc_bb_matched10_others_gsq_searchv3_alpha001,31,21,14,17,19,2,8,17,6,0,0,2,19,0,9,1,8,0,0,0.5,5.0,17.0,0.5,5.0,11.0,17.0,0.3646726608276367,31,8,dynamic
survey,alpha001,ABAPC (bb),2494,bnlearn_abapc_bb_matched10_others_gsq_searchv3_alpha001,20,18,5,15,15,3,3,15,2,0,2,3,13,0,7,2,5,0,0,0.5,5.0,11.0,0.5,5.0,11.0,11.0,0.29689955711364746,20,6,dynamic
survey,alpha001,ABAPC (bb),2656,bnlearn_abapc_bb_matched10_others_gsq_searchv3_alpha001,28,27,11,17,22,5,7,17,4,0,0,5,22,0,7,1,6,0,0,0.4615,6.0,19.0,0.6154,5.0,8.0,25.0,0.25791144371032715,28,5,dynamic
survey,alpha001,ABAPC (bb),2688,bnlearn_abapc_bb_matched10_others_gsq_searchv3_alpha001,47,33,22,25,32,1,12,24,10,1,1,1,31,0,7,0,7,0,0,0.6667,4.0,11.0,0.6667,5.0,11.0,18.0,0.39650988578796387,47,7,dynamic
survey,alpha001,ABAPC (bb),3199,bnlearn_abapc_bb_matched10_others_gsq_searchv3_alpha001,30,34,12,18,32,2,6,18,6,0,1,2,31,0,8,1,7,0,0,0.4615,5.0,20.0,0.4615,6.0,14.0,21.0,0.2963848114013672,30,7,dynamic
survey,alpha001,ABAPC (bb),3578,bnlearn_abapc_bb_matched10_others_gsq_searchv3_alpha001,16,23,3,13,18,5,0,13,3,0,3,5,15,0,6,3,3,0,0,0.5,4.0,19.0,0.5,5.0,13.0,19.0,0.2941923141479492,16,4,dynamic
survey,alpha001,ABAPC (bb),7816,bnlearn_abapc_bb_matched10_others_gsq_searchv3_alpha001,27,25,10,17,23,2,8,17,2,0,0,2,23,0,8,1,7,0,0,0.3077,8.0,26.0,0.4615,9.0,13.0,29.0,0.3080711364746094,27,7,dynamic
survey,alpha001,ABAPC (bb),7977,bnlearn_abapc_bb_matched10_others_gsq_searchv3_alpha001,21,20,6,15,18,2,5,15,1,0,0,2,18,0,9,2,7,0,0,0.1429,8.0,26.0,0.5714,8.0,9.0,28.0,0.3118553161621094,21,8,dynamic
survey,alpha001,ABAPC (bb),8266,bnlearn_abapc_bb_matched10_others_gsq_searchv3_alpha001,29,15,12,17,14,1,5,17,7,0,0,1,14,0,10,2,8,0,0,0.3077,6.0,20.0,0.4615,7.0,13.0,20.0,0.2944529056549072,29,9,dynamic
survey,alpha001,ABAPC (bb-nor),183,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_alpha001,16,12,5,11,11,1,1,11,4,0,1,1,10,0,10,3,7,0,3,0.6667,3.0,10.0,0.6667,5.0,10.0,24.0,0.22060775756835938,16,10,frozen_initial
survey,alpha001,ABAPC (bb-nor),316,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_alpha001,38,14,19,19,14,0,8,19,11,0,0,0,14,0,10,1,9,0,1,0.1818,5.0,24.0,0.5455,6.0,18.0,25.0,0.2292938232421875,38,12,frozen_initial
survey,alpha001,ABAPC (bb-nor),2494,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_alpha001,21,17,6,15,14,3,3,15,3,0,2,3,12,0,7,2,5,0,2,0.6,3.0,13.0,0.6,3.0,13.0,13.0,0.2444314956665039,21,7,frozen_initial
survey,alpha001,ABAPC (bb-nor),2656,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_alpha001,35,20,14,21,19,1,7,21,7,0,0,1,19,0,9,1,8,0,1,0.9091,1.0,5.0,0.9091,1.0,5.0,12.0,0.2081615924835205,35,8,frozen_initial
survey,alpha001,ABAPC (bb-nor),2688,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_alpha001,47,33,22,25,32,1,12,24,10,1,1,1,31,0,7,0,7,0,0,0.8333,1.0,7.0,0.8333,1.0,7.0,13.0,0.2649235725402832,47,7,frozen_initial
survey,alpha001,ABAPC (bb-nor),3199,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_alpha001,35,29,16,19,28,1,6,19,10,0,1,1,27,0,8,1,7,0,1,0.5455,3.0,16.0,0.7273,4.0,16.0,17.0,0.23307490348815918,35,7,frozen_initial
survey,alpha001,ABAPC (bb-nor),3578,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_alpha001,23,16,8,15,13,3,2,15,6,0,1,3,12,0,9,3,6,0,3,0.2222,5.0,19.0,0.4444,6.0,13.0,19.0,0.22897958755493164,23,9,frozen_initial
survey,alpha001,ABAPC (bb-nor),7816,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_alpha001,32,20,14,18,19,1,8,18,6,0,0,1,19,0,9,1,8,0,1,0.5455,3.0,14.0,0.5455,5.0,14.0,15.0,0.26680827140808105,32,9,frozen_initial
survey,alpha001,ABAPC (bb-nor),7977,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_alpha001,25,16,8,17,16,0,5,17,3,0,0,0,16,0,11,2,9,0,2,0.4,4.0,17.0,0.6,5.0,17.0,18.0,0.20517516136169434,25,10,frozen_initial
survey,alpha001,ABAPC (bb-nor),8266,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_alpha001,32,12,14,18,12,0,5,18,9,0,0,0,12,0,11,2,9,0,2,0.4,4.0,13.0,0.6,6.0,12.0,19.0,0.22388458251953125,32,12,frozen_initial
asia,alpha005,ABAPC (nor),183,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,132,8,121,11,8,0,24,11,97,0,0,0,8,0,23,3,20,0,0,0.6154,4.0,21.0,0.4615,5.0,21.0,28.0,0.38347840309143066,132,26,
asia,alpha005,ABAPC (nor),316,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,155,9,140,15,9,0,24,12,116,3,0,0,9,0,23,3,20,0,0,0.3077,6.0,37.0,0.1538,6.0,22.0,37.0,0.4420051574707031,155,25,
asia,alpha005,ABAPC (nor),2494,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,165,7,143,22,7,0,22,15,121,7,0,0,7,0,23,3,20,0,0,0.3077,6.0,37.0,0.1538,6.0,22.0,37.0,0.4622011184692383,165,26,
asia,alpha005,ABAPC (nor),2656,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,158,22,144,14,22,0,27,11,117,3,0,0,22,0,21,2,19,0,0,0.5714,5.0,21.0,0.5714,4.0,14.0,26.0,0.7271292209625244,158,24,
asia,alpha005,ABAPC (nor),2688,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,126,14,116,10,14,0,24,10,92,0,0,0,14,0,23,3,20,0,0,0.3333,6.0,31.0,0.1667,8.0,31.0,42.0,0.5188002586364746,126,25,
