dataset,alpha,method,seed,version,removed_fact_count,kept_fact_count,removed_true_count,removed_false_count,kept_true_count,kept_false_count,removed_true_indep_count,removed_false_indep_count,removed_true_dep_count,removed_false_dep_count,kept_true_indep_count,kept_false_indep_count,kept_true_dep_count,kept_false_dep_count,released_block_pair_count,released_wrong_block_pair_count,released_correct_block_pair_count,remaining_wrong_block_pair_count,effective_wrong_block_pair_count,dag_F1,dag_SHD,dag_SID,cpdag_F1,cpdag_SHD,cpdag_SID_low,cpdag_SID_high,elapsed_sec,remove_n,fully_released_pair_count_reported,block_edge_mode
cancer,alpha005,ABAPC (bb-nor),316,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_graphmetrics,17,20,12,5,20,0,4,5,8,0,0,0,20,0,7,1,6,0,1,0.5714,2.0,6.0,0.5714,2.0,1.0,11.0,0.23646235466003418,17,7,frozen_initial
cancer,alpha005,ABAPC (bb-nor),2494,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_graphmetrics,10,36,7,3,36,0,4,3,3,0,2,0,34,0,4,0,4,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.2621586322784424,10,2,frozen_initial
cancer,alpha005,ABAPC (bb-nor),2656,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_graphmetrics,13,15,7,6,15,0,4,6,3,0,0,0,15,0,7,1,6,0,1,0.5714,2.0,6.0,0.5714,2.0,6.0,11.0,0.2315073013305664,13,7,frozen_initial
cancer,alpha005,ABAPC (bb-nor),2688,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_graphmetrics,12,32,8,4,32,0,4,4,4,0,2,0,30,0,4,0,4,0,0,0.75,1.0,5.0,0.5,2.0,5.0,15.0,0.26739501953125,12,4,frozen_initial
cancer,alpha005,ABAPC (bb-nor),3199,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_graphmetrics,13,15,7,6,15,0,4,6,3,0,0,0,15,0,7,1,6,0,1,0.5714,2.0,6.0,0.5714,2.0,1.0,11.0,0.2310326099395752,13,7,frozen_initial
cancer,alpha005,ABAPC (bb-nor),3578,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_graphmetrics,10,34,7,3,33,1,5,3,2,0,1,1,32,0,4,0,4,0,0,0.75,1.0,5.0,0.75,1.0,5.0,10.0,0.24715304374694824,10,3,frozen_initial
cancer,alpha005,ABAPC (bb-nor),7816,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_graphmetrics,7,37,3,4,36,1,3,3,0,1,2,1,34,0,3,0,3,0,0,0.75,1.0,5.0,0.75,1.0,5.0,10.0,0.2776057720184326,7,1,frozen_initial
cancer,alpha005,ABAPC (bb-nor),7977,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_graphmetrics,21,36,14,7,36,0,6,6,8,1,2,0,34,0,4,0,4,0,0,0.25,3.0,15.0,0.5,2.0,5.0,15.0,0.2778923511505127,21,4,frozen_initial
cancer,alpha005,ABAPC (bb-nor),8266,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_graphmetrics,11,33,6,5,33,0,5,5,1,0,1,0,32,0,5,0,5,0,0,0.5,2.0,10.0,0.5,2.0,5.0,15.0,0.2382831573486328,11,5,frozen_initial
cancer,alpha001,ABAPC (nor),183,bnlearn_abapc_nor_matched10_others_gsq_alpha001,6,16,2,4,14,2,2,4,0,0,2,2,12,0,3,1,2,0,0,0.5714,2.0,6.0,0.5714,2.0,6.0,11.0,0.0548708438873291,6,3,
cancer,alpha001,ABAPC (nor),316,bnlearn_abapc_nor_matched10_others_gsq_alpha001,13,15,6,7,15,0,4,7,2,0,0,0,15,0,7,1,6,0,0,0.0,4.0,16.0,0.0,4.0,11.0,16.0,0.07279777526855469,13,7,
cancer,alpha001,ABAPC (nor),2494,bnlearn_abapc_nor_matched10_others_gsq_alpha001,10,34,4,6,34,0,4,6,0,0,2,0,32,0,4,0,4,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.07779407501220703,10,4,
cancer,alpha001,ABAPC (nor),2656,bnlearn_abapc_nor_matched10_others_gsq_alpha001,4,18,3,1,13,5,3,1,0,0,1,5,12,0,1,1,0,0,0,0.2857,3.0,11.0,0.2857,3.0,11.0,11.0,0.05582094192504883,4,1,
cancer,alpha001,ABAPC (nor),2688,bnlearn_abapc_nor_matched10_others_gsq_alpha001,12,16,6,6,16,0,3,6,3,0,1,0,15,0,6,1,5,0,0,0.0,4.0,16.0,0.0,4.0,11.0,16.0,0.06983637809753418,12,6,
