dataset,num_nodes,num_edges,impl,seed,time,remove_n,n_models_enumerated,n_dag_models,n_cpdag_models,dag_nnz,dag_fdr,dag_tpr,dag_fpr,dag_precision,dag_recall,dag_F1,dag_shd,dag_sid,cpdag_nnz,cpdag_fdr,cpdag_tpr,cpdag_fpr,cpdag_precision,cpdag_recall,cpdag_F1,cpdag_shd,cpdag_sid_low,cpdag_sid_high,AP,CIT_Precision,CIT_Recall,CIT_F1
dag_5_nodes_5_edges_semantics_ER,5,5,org,2250,0.02813429999514483,1,5,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,0.9999999999999998,1.0,1.0,1.0
dag_5_nodes_5_edges_semantics_ER,5,5,org,4447,0.026131699996767566,0,5,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,1.0,1.0,1.0,1.0
dag_5_nodes_5_edges_semantics_ER,5,5,org,2415,0.03756959999736864,0,5,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,1.0,1.0,1.0,1.0
dag_5_nodes_5_edges_semantics_ER,5,5,org,3595,0.032356200012145564,0,5,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,1.0,1.0,1.0,1.0
dag_5_nodes_5_edges_semantics_ER,5,5,org,4187,0.041810199996689335,0,5,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,1.0,1.0,1.0,1.0
dag_5_nodes_5_edges_semantics_ER,5,5,org,4135,0.04510339999978896,0,5,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,1.0000000000000002,1.0,1.0,1.0
dag_5_nodes_5_edges_semantics_ER,5,5,org,5174,0.05435320000106003,1,5,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,0.9999999999999999,1.0,1.0,1.0
dag_5_nodes_5_edges_semantics_ER,5,5,org,5303,0.04371280000486877,0,5,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,1.0000000000000002,1.0,1.0,1.0
dag_5_nodes_5_edges_semantics_ER,5,5,org,3942,0.031739500002004206,0,5,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,1.0000000000000002,1.0,1.0,1.0
dag_5_nodes_5_edges_semantics_ER,5,5,org,2778,0.0859232999937376,12,5,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,0.9927293356918978,1.0,0.7435897435897436,0.8529411764705882
dag_5_nodes_5_edges_semantics_ER,5,5,org,2804,0.03580260000308044,1,5,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,1.0,1.0,1.0,1.0
dag_5_nodes_5_edges_semantics_ER,5,5,org,2145,0.04164140000648331,3,5,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,0.9987652439024389,1.0,0.95,0.9743589743589743
dag_5_nodes_5_edges_semantics_ER,5,5,org,150,0.062119099995470606,7,6,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,0.9947469911822633,1.0,0.8717948717948718,0.9315068493150686
dag_5_nodes_5_edges_semantics_ER,5,5,org,8823,0.0378797999874223,3,5,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,0.9987652439024389,1.0,0.95,0.9743589743589743
dag_5_nodes_5_edges_semantics_ER,5,5,org,4669,0.03455859998939559,0,5,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,1.0,1.0,1.0,1.0
dag_5_nodes_5_edges_semantics_ER,5,5,org,6131,0.035814100003335625,2,5,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,0.9993902439024391,1.0,0.975,0.9873417721518987
dag_5_nodes_5_edges_semantics_ER,5,5,org,2617,0.05041440000059083,2,5,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,0.9993902439024389,1.0,0.975,0.9873417721518987
dag_5_nodes_5_edges_semantics_ER,5,5,org,7166,0.044628300005570054,4,5,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,0.9987015121630507,1.0,0.9487179487179487,0.9736842105263158
dag_5_nodes_5_edges_semantics_ER,5,5,org,1428,0.02394629998889286,0,5,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,1.0,1.0,1.0,1.0
dag_5_nodes_5_edges_semantics_ER,5,5,org,8328,0.030605200008722022,1,5,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,1.0,1.0,1.0,1.0
dag_5_nodes_5_edges_semantics_ER,5,5,org,8289,0.03381290000106674,0,5,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,1.0,1.0,1.0,1.0
dag_5_nodes_5_edges_semantics_ER,5,5,org,5978,0.04812659999879543,4,7,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,0.9985817837303983,1.0,0.9347826086956522,0.9662921348314606
dag_5_nodes_5_edges_semantics_ER,5,5,org,5511,0.023736100003588945,0,5,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,1.0,1.0,1.0,1.0
dag_5_nodes_5_edges_semantics_ER,5,5,org,5864,0.06291390000842512,8,5,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,0.9953819176901655,1.0,0.825,0.9041095890410958
dag_5_nodes_5_edges_semantics_ER,5,5,org,606,0.028769299999112263,1,5,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,0.9999999999999999,1.0,1.0,1.0
dag_5_nodes_5_edges_semantics_ER,5,5,org,1933,0.030259799998020753,1,5,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,0.9999999999999999,1.0,1.0,1.0
