n_nodes,n_edges,model,seed,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high
4,4,FGS,8328,0.09668922424316406,3,0.6667,0.25,1.0,0.0,0.0,,4.0,10.0,11.0
4,4,FGS,8289,0.0972282886505127,2,0.5,0.25,0.5,0.5,0.25,0.3333,4.0,7.0,7.0
4,4,FGS,5978,0.10579371452331543,4,0.5,0.5,1.0,0.25,0.25,0.25,4.0,3.0,10.0
4,4,FGS,5511,0.1051931381225586,4,0.0,1.0,0.0,0.75,0.75,0.75,2.0,4.0,12.0
4,4,FGS,5864,0.1000213623046875,4,1.0,0.0,2.0,0.0,0.0,,6.0,12.0,12.0
4,4,FGS,606,0.09761166572570801,3,0.3333,0.5,0.5,0.6667,0.5,0.5714,5.0,7.0,8.0
4,4,FGS,1933,0.09869861602783203,4,0.25,0.75,0.5,0.5,0.5,0.5,3.0,3.0,9.0
4,4,FGS,6071,0.1109473705291748,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,5.0,11.0
4,4,FGS,5504,0.1000204086303711,4,0.5,0.5,1.0,0.5,0.5,0.5,6.0,5.0,9.0
4,4,FGS,5163,0.10063576698303223,4,0.0,1.0,0.0,0.5,0.5,0.5,3.0,4.0,12.0
4,4,FGS,2406,0.09777116775512695,3,0.3333,0.5,0.5,0.6667,0.5,0.5714,3.0,6.0,6.0
4,4,FGS,304,0.09975314140319824,4,0.5,0.5,1.0,0.25,0.25,0.25,5.0,3.0,7.0
4,4,FGS,3391,0.09609270095825195,3,1.0,0.0,1.5,0.0,0.0,,5.0,10.0,10.0
4,4,FGS,359,0.10124778747558594,4,0.5,0.5,1.0,0.5,0.5,0.5,5.0,2.0,8.0
4,4,FGS,9096,0.09954977035522461,4,0.0,1.0,0.0,0.25,0.25,0.25,0.0,0.0,12.0
4,4,FGS,3533,0.09804034233093262,3,0.3333,0.5,0.5,0.3333,0.25,0.2857,4.0,2.0,7.0
4,4,FGS,4125,0.09893298149108887,3,0.0,0.75,0.0,0.6667,0.5,0.5714,1.0,2.0,8.0
4,4,FGS,3094,0.09971356391906738,4,0.5,0.5,1.0,0.25,0.25,0.25,3.0,7.0,12.0
4,4,FGS,6398,0.09586024284362793,2,1.0,0.0,1.0,0.0,0.0,,5.0,11.0,11.0
5,5,FGS,7816,0.10296106338500977,4,1.0,0.0,0.8,0.0,0.0,,8.0,9.0,11.0
5,5,FGS,3578,0.10351943969726562,4,0.0,0.8,0.0,0.5,0.4,0.4444,4.0,10.0,15.0
5,5,FGS,2656,0.1028907299041748,4,0.75,0.2,0.6,0.25,0.2,0.2222,7.0,11.0,16.0
5,5,FGS,2688,0.10363960266113281,4,0.75,0.2,0.6,0.25,0.2,0.2222,8.0,8.0,14.0
5,5,FGS,2494,0.11980152130126953,3,0.0,0.6,0.0,0.6667,0.4,0.5,3.0,5.0,20.0
5,5,FGS,183,0.10812640190124512,5,0.6,0.4,0.6,0.4,0.4,0.4,7.0,6.0,12.0
5,5,FGS,7977,0.1031179428100586,3,0.6667,0.2,0.4,0.3333,0.2,0.25,7.0,11.0,16.0
5,5,FGS,3199,0.10481572151184082,5,0.6,0.4,0.6,0.4,0.4,0.4,5.0,8.0,8.0
5,5,FGS,316,0.10413050651550293,4,0.75,0.2,0.6,0.25,0.2,0.2222,7.0,10.0,12.0
5,5,FGS,8266,0.1013343334197998,3,0.6667,0.2,0.4,0.3333,0.2,0.25,6.0,6.0,6.0
5,5,FGS,1532,0.10541272163391113,4,0.75,0.2,0.6,0.25,0.2,0.2222,8.0,5.0,16.0
5,5,FGS,1009,0.10234379768371582,4,0.0,0.8,0.0,0.5,0.4,0.4444,3.0,6.0,12.0
5,5,FGS,2250,0.10439682006835938,4,0.5,0.4,0.4,0.25,0.2,0.2222,6.0,4.0,13.0
5,5,FGS,4447,0.09923124313354492,2,0.5,0.2,0.2,0.5,0.2,0.2857,5.0,9.0,15.0
5,5,FGS,2415,0.10348773002624512,4,1.0,0.0,0.8,0.0,0.0,,8.0,11.0,16.0
5,5,FGS,3595,0.10424160957336426,4,0.5,0.4,0.4,0.25,0.2,0.2222,6.0,3.0,13.0
